"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/22/21 08:26:29","SH+T","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/22/21 08:26:47","LT+LS","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/22/21 08:27:08","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/22/21 08:27:24","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/22/21 08:27:50","LT+TB","Digging","","","","","",""
"Scan","5/22/21 08:28:05","LT","Scrabling","","","","","",""
"Scan","5/22/21 08:28:27","TB","Foraging","","","","","",""
"Scan","5/22/21 08:28:50","RT (+TB+LT)","Foraging","SH+T, RR+TB","","","","",""
"Scan","5/22/21 08:29:30","RR+TB","Scrabling","LT+LS","","","","",""
"Scan","5/22/21 08:30:11","RR+RS (+RT)","Other","RR+LT","","","","","sunning "
"Scan","5/22/21 08:30:46","RR+LT","Other","RR+RS (+RT)","","","","","sunn"
"Scan","5/22/21 08:31:11","RR+RT","Other","","","","","","sunning "
"Scan","5/22/21 08:31:43","RC+MB+TB","Other","","","","","","sunning "
"Scan","5/22/21 08:32:23","LT+LS","Scrabling","","","","","",""
"Scan","5/22/21 08:32:38","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/22/21 08:33:00","SH+T","Scrabling","RR+TB","","","","",""
"Scan","5/22/21 08:33:18","LT+TB","Scrabling","","","","","",""
"Scan","5/22/21 08:33:40","LT+RT (+T)","Other","","","","","","sunning "
"Scan","5/22/21 08:34:13","TB","Foraging","","","","","",""
"Scan","5/22/21 08:34:27","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/22/21 08:35:05","LT","Foraging","","","","","",""
"Scan","5/22/21 08:35:31","RR+TB","Bipedal vig","","","","","",""
"Scan","5/22/21 08:36:40","RR+RS (+RT)","Scrabling","LT+LS","","","","",""
"Scan","5/22/21 08:37:05","RR+RT","Scrabling","","","","","",""
"Scan","5/22/21 08:37:38","RC+MB+TB","Moving","","","","","",""
"Scan","5/22/21 08:38:52","RR+LT","Scrabling","","","","","",""
"Scan","5/22/21 08:39:09","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/22/21 08:39:29","LT+TB","Scrabling","","","","","",""
"Scan","5/22/21 08:39:57","SH+T","Self-directed behaviour","","","","","",""
"Scan","5/22/21 08:40:18","LT+LS","Scrabling","","","","","",""
"Scan","5/22/21 08:41:39","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/22/21 08:42:11","TB","Scrabling","","","","","",""
"Scan","5/22/21 08:42:48","LT","Scrabling","","","","","",""
"Scan","5/22/21 08:43:22","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/22/21 08:44:10","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/22/21 08:44:33","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/22/21 08:45:11","RR+LT","Scrabling","","","","","",""
"Scan","5/22/21 08:45:26","RR+RT","Scrabling","","","","","",""
"Scan","5/22/21 08:45:44","RR+TB","Other","","","","","","gt on Matt "
"Scan","5/22/21 08:46:23","RS+LS+T (+SH)","Foraging","TB","","","","",""
"Scan","5/22/21 08:46:46","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/22/21 08:46:56","SH+T","Eating","","","","","",""
"Scan","5/22/21 08:49:36","LT+LS","Digging","","","","","",""
"Scan","5/22/21 08:50:17","LT","Moving","","","","","",""
"Scan","5/22/21 08:50:58","TB","Scrabling","","","","","",""
"Scan","5/22/21 08:51:16","LT+TB","Eating","","","","","",""
"Scan","5/22/21 08:52:27","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/22/21 08:53:03","RT (+TB+LT)","Moving","","","","","",""
"Scan","5/22/21 08:53:20","RR+RT","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/22/21 08:53:46","RR+LT","Digging","","","","","",""
"Scan","5/22/21 08:54:04","RR+TB","Other","","","","","","gt on Matt "
"Scan","5/22/21 08:54:58","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/22/21 08:56:18","LT+TB","Scrabling","","","","","",""
"Scan","5/22/21 08:56:45","SH+T","Scrabling","","","","","",""
"Scan","5/22/21 08:56:55","RS+LS+T (+SH)","Scrabling","SH+T","","","","",""
"Scan","5/22/21 08:57:13","LT+LS","Scrabling","RR+TB","","","","",""
"Scan","5/22/21 08:58:44","LT+RT (+T)","Other","RR+RT, RR+LT, LT+TB, TB, RT (+TB+LT), LT","","","","","renovating BH (post predator alarm to a plane)"
"Scan","5/22/21 09:00:54","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/22/21 09:01:41","LT","Scrabling","","","","","",""
"Scan","5/22/21 09:01:58","TB","Digging","SH+T","","","","",""
"Scan","5/22/21 09:02:49","RC+MB+TB","Bipedal vig","","","","","",""
"Scan","5/22/21 09:03:25","RR+RT","Scrabling","","","","","",""
"Scan","5/22/21 09:03:51","RR+LT","Eating","LT+TB","","","","",""
"Scan","5/22/21 09:04:44","RR+TB","Scrabling","","","","","",""
"Scan","5/22/21 09:04:58","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/22/21 09:05:13","RS+LS+T (+SH)","Digging","","","","","",""
"Scan","5/22/21 09:05:34","SH+T","Scrabling","","","","","",""
"Scan","5/22/21 09:05:55","LT+LS","Scrabling","","","","","",""
"Scan","5/22/21 09:06:47","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/22/21 09:07:03","LT+TB","Scrabling","RR+LT","","","","",""
"Scan","5/22/21 09:07:22","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/22/21 09:07:42","LT","Foraging","","","","","",""
"Scan","5/22/21 09:08:07","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/22/21 09:08:24","TB","Scrabling","","","","","",""
"Scan","5/22/21 09:09:08","RR+LT","Scrabling","","","","","",""
"Scan","5/22/21 09:09:28","RR+RT","Eating","RS+LS+T (+SH)","","","","",""
"Scan","5/22/21 09:10:06","RR+TB","Foraging","LT+LS","","","","",""
"Scan","5/22/21 09:10:39","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/22/21 09:10:52","SH+T","Foraging","","","","","",""
"Scan","5/22/21 09:11:17","LT+LS","Eating","","","","","",""
"Scan","5/22/21 09:12:10","LT+TB","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/22/21 09:12:42","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/22/21 09:13:19","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/22/21 09:13:31","LT","Scrabling","","","","","",""
"Scan","5/22/21 09:13:50","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/22/21 09:15:03","TB","Digging","","","","","",""
"Scan","5/22/21 09:15:47","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/22/21 09:16:15","RR+LT","Foraging","","","","","",""
"Scan","5/22/21 09:16:58","RR+TB","Scrabling","TB","","","","",""
"Scan","5/22/21 09:17:14","RR+RT","Eating","RR+TB","","","","",""
"Scan","5/22/21 09:18:05","RR+RS (+RT)","Scrabling","","","","","",""
