"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","8/14/21 11:57:08","RRLT","Foraging","","","","","",""
"Scan","8/14/21 11:56:24","RS","Scrabling","LT","","","","",""
"Scan","8/14/21 11:54:30","LT","Foraging","","","","","",""
"Scan","8/14/21 11:54:09","RSTB","Foraging","","","","","",""
"Scan","8/14/21 11:53:37","RRLT","Scrabling","","","","","",""
"Event","8/14/21 11:53:28","","","","Sentinel","","RRLT","Stop",""
"Scan","8/14/21 11:52:51","LS","Eating","","","","","",""
"Scan","8/14/21 11:51:59","RSTB","Foraging","","","","","",""
"Event","8/14/21 11:50:40","","","","Sentinel","","RRLT","Already started",""
"Scan","8/14/21 11:50:28","RRLT","Bipedal vig","","","","","",""
"Scan","8/14/21 11:49:54","LS","Foraging","","","","","",""
"Scan","8/14/21 11:49:38","LT","Bipedal vig","","","","","",""
"Scan","8/14/21 11:49:20","RS","Scrabling","","","","","",""
"Scan","8/14/21 11:47:06","RSTB","Foraging","","","","","",""
"Scan","8/14/21 11:46:16","RRLT","Foraging","LT","","","","",""
"Scan","8/14/21 11:46:08","LS","Foraging","","","","","",""
"Scan","8/14/21 11:46:01","RS","Foraging","","","","","",""
"Scan","8/14/21 11:45:47","LT","Scrabling","LS","","","","",""
"Scan","8/14/21 11:42:02","RS","Moving","","","","","",""
"Scan","8/14/21 11:41:26","RSTB","Scrabling","","","","","",""
"Scan","8/14/21 11:39:52","LT","Foraging","","","","","",""
"Scan","8/14/21 11:31:32","RS","Foraging","","","","","",""
"Scan","8/14/21 11:30:36","RRLT","Foraging","","","","","",""
"Scan","8/14/21 11:29:53","RSTB","Bipedal vig","","","","","",""
"Event","8/14/21 11:29:02","","","","Alarm scanning","LS","","Stop",""
"Scan","8/14/21 11:27:01","LS","Scrabling","","","","","",""
"Scan","8/14/21 11:23:54","RS","Scrabling","RRLT","","","","",""
"Scan","8/14/21 11:23:44","RRLT","Scrabling","RS","","","","",""
"Scan","8/14/21 11:23:28","LT","Bipedal vig","LS","","","","",""
"Scan","8/14/21 11:23:17","LS","Moving","LT","","","","",""
"Scan","8/14/21 11:21:46","RS","Foraging","","","","","",""
"Scan","8/14/21 11:20:41","LT","Foraging","SHTB, LS","","","","",""
"Scan","8/14/21 11:20:23","LS","Scrabling","","","","","",""
"Scan","8/14/21 11:19:33","RSTB","Scrabling","SHRT","","","","",""
"Scan","8/14/21 11:18:41","RRLT","Foraging","RRRS","","","","",""
"Scan","8/14/21 10:59:38","RS","Moving","LS","","","","",""
"Scan","8/14/21 10:59:26","LS","Scrabling","","","","","",""
"Scan","8/14/21 10:58:51","RSTB","Moving","","","","","",""
"Scan","8/14/21 10:58:16","LT","Bipedal vig","SHTB","","","","",""
"Scan","8/14/21 10:51:01","RS","Scrabling","SHLT, LT","","","","",""
"Scan","8/14/21 10:50:47","LT","Foraging","SHLT, RS","","","","",""
"Scan","8/14/21 10:50:17","RRLT","Foraging","RSTB","","","","",""
"Scan","8/14/21 10:49:56","LS","Foraging","","","","","",""
"Scan","8/14/21 10:49:40","RSTB","Foraging","RRLT, LS","","","","",""
"Event","8/14/21 10:49:13","","","","Sentinel","","SHTB","Already stopped",""
"Scan","8/14/21 10:48:53","RS","Scrabling","SHTB","","","","",""
"Scan","8/14/21 10:48:41","LT","Scrabling","","","","","",""
"Scan","8/14/21 10:41:00","RS","Scrabling","","","","","",""
"Scan","8/14/21 10:40:49","RSTB","Foraging","RS","","","","",""
"Scan","8/14/21 10:40:37","RRLT","Foraging","","","","","",""
"Scan","8/14/21 10:39:18","LT","Bipedal vig","RRRS","","","","",""
"Scan","8/14/21 10:37:21","RSTB","Foraging","SHRT, RS","","","","",""
"Scan","8/14/21 10:37:09","RS","Foraging","RSTB","","","","",""
"Event","8/14/21 10:36:01","","","","Sentinel","","SHTB","Currently",""
"Scan","8/14/21 10:34:56","LT","Foraging","","","","","",""
"Scan","8/14/21 10:33:58","RSTB","Scrabling","","","","","",""
"Scan","8/14/21 10:33:36","RS","Foraging","","","","","",""
"Scan","8/14/21 10:33:12","RRLT","Scrabling","RSTB","","","","",""
"Scan","8/14/21 10:30:39","RS","Scrabling","","","","","",""
"Scan","8/14/21 10:30:22","RSTB","Foraging","","","","","",""
"Scan","8/14/21 10:29:11","RRLT","Scrabling","RRRT","","","","",""
"Scan","8/14/21 10:28:51","LS","Scrabling","","","","","",""
"Scan","8/14/21 10:27:44","LT","Foraging","HLS","","","","",""
"Scan","8/14/21 10:26:33","RSTB","Scrabling","","","","","",""
"Scan","8/14/21 10:25:53","RS","Scrabling","SHLT","","","","",""
