"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/19/21 08:16:33","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/19/21 08:17:01","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/19/21 08:17:22","SH+T","Scrabling","","","","","",""
"Scan","5/19/21 08:18:10","RR+LT","Other","","","","","","sunning "
"Scan","5/19/21 08:18:35","RR+RT","Moving","","","","","",""
"Scan","5/19/21 08:19:24","RR+TB","Other","","","","","","GT"
"Scan","5/19/21 08:20:41","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/19/21 08:21:11","TB","Scrabling","","","","","",""
"Scan","5/19/21 08:21:56","LT","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/19/21 08:22:41","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/19/21 08:23:00","LT+LS","Scrabling","","","","","",""
"Scan","5/19/21 08:23:42","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:24:04","RC+MB+TB","Foraging","","","","","",""
"Scan","5/19/21 08:24:28","RR+RS (+RT)","Foraging","","","","","",""
"Scan","5/19/21 08:24:56","SH+T","Self-directed behaviour","","","","","",""
"Scan","5/19/21 08:25:17","RR+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:25:37","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/19/21 08:26:12","RR+RT","Scrabling","RR+LT","","","","",""
"Scan","5/19/21 08:26:31","RR+LT","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/19/21 08:27:04","RT (+TB+LT)","Foraging","RR+LT","","","","",""
"Scan","5/19/21 08:27:53","TB","Foraging","","","","","",""
"Scan","5/19/21 08:28:13","LT","Foraging","","","","","",""
"Scan","5/19/21 08:28:49","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/19/21 08:29:17","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:29:46","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:30:25","LT+LS","Foraging","LT","","","","",""
"Scan","5/19/21 08:31:10","SH+T","Scrabling","RR+RS (+RT)","","","","",""
"Scan","5/19/21 08:31:30","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/19/21 08:32:02","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/19/21 08:32:31","RR+LT","Scrabling","","","","","",""
"Scan","5/19/21 08:32:56","RR+RT","Scrabling","","","","","",""
"Scan","5/19/21 08:33:24","RR+TB","Eating","","","","","",""
"Scan","5/19/21 08:33:57","RT (+TB+LT)","Scrabling","RR+TB, LT+TB","","","","",""
"Scan","5/19/21 08:34:24","TB","Scrabling","","","","","",""
"Scan","5/19/21 08:34:39","LT","Scrabling","","","","","",""
"Scan","5/19/21 08:35:13","LT+RT (+T)","Scrabling","RR+RS (+RT)","","","","",""
"Scan","5/19/21 08:35:42","RC+MB+TB","Digging","","","","","",""
"Scan","5/19/21 08:36:27","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:37:03","LT+LS","Eating","","","","","",""
"Scan","5/19/21 08:37:28","RR+LT","Foraging","","","","","",""
"Scan","5/19/21 08:37:56","RR+RS (+RT)","Scrabling","RR+RT","","","","",""
"Scan","5/19/21 08:38:33","RR+RT","Bipedal vig","","","","","",""
"Scan","5/19/21 08:39:15","RR+TB","Scrabling","RR+RT","","","","",""
"Scan","5/19/21 08:39:41","RS+LS+T (+SH)","Digging","","","","","",""
"Scan","5/19/21 08:39:59","SH+T","Scrabling","RS+LS+T (+SH)","","","","",""
"Scan","5/19/21 08:40:22","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/19/21 08:40:48","LT","Scrabling","RR+RT","","","","",""
"Scan","5/19/21 08:41:16","TB","Digging","","","","","",""
"Scan","5/19/21 08:41:31","LT+LS","Foraging","","","","","",""
"Scan","5/19/21 08:41:57","LT+RT (+T)","Scrabling","RR+LT","","","","",""
"Scan","5/19/21 08:43:09","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:45:02","RC+MB+TB","Moving","","","","","",""
"Scan","5/19/21 08:45:27","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/19/21 08:45:51","RR+LT","Eating","","","","","",""
"Scan","5/19/21 08:46:22","RR+RT","Foraging","","","","","",""
"Scan","5/19/21 08:46:49","RR+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:47:03","SH+T","Scrabling","","","","","",""
"Scan","5/19/21 08:47:36","TB","Digging","","","","","",""
"Scan","5/19/21 08:47:58","RS+LS+T (+SH)","Bipedal vig","","","","","",""
"Scan","5/19/21 08:48:13","LT","Scrabling","LT+TB","","","","",""
"Scan","5/19/21 08:48:30","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/19/21 08:49:02","LT+RT (+T)","Scrabling","LT","","","","",""
"Scan","5/19/21 08:49:24","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:49:52","LT+LS","Scrabling","SH+T","","","","",""
"Scan","5/19/21 08:50:12","LT+TB","Scrabling","RR+RT, RT (+TB+LT)","","","","",""
"Scan","5/19/21 08:50:37","RR+LT","Scrabling","","","","","",""
"Scan","5/19/21 08:50:57","RR+RT","Digging","","","","","",""
"Scan","5/19/21 08:51:33","RS+LS+T (+SH)","Bipedal vig","","","","","",""
"Scan","5/19/21 08:52:05","SH+T","Scrabling","LT+RT (+T), TB, LT","","","","",""
"Scan","5/19/21 08:52:32","RR+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:52:53","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/19/21 08:53:16","RC+MB+TB","Scrabling","LT","","","","",""
"Scan","5/19/21 08:53:33","LT","Scrabling","SH+T","","","","",""
"Scan","5/19/21 08:53:47","TB","Scrabling","","","","","",""
"Scan","5/19/21 08:54:05","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/19/21 08:54:29","LT+LS","Scrabling","","","","","",""
"Scan","5/19/21 08:55:43","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:56:45","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/19/21 08:58:04","RR+TB","Scrabling","","","","","",""
"Scan","5/19/21 08:58:21","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/19/21 08:58:48","RR+RT","Digging","","","","","",""
"Scan","5/19/21 08:59:00","SH+T","Moving","","","","","",""
"Scan","5/19/21 09:00:25","RR+LT","Digging","","","","","",""
"Scan","5/19/21 09:01:04","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/19/21 09:01:40","TB","Digging","","","","","",""
"Scan","5/19/21 09:01:56","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/19/21 09:02:16","LT","Scrabling","","","","","",""
"Scan","5/19/21 09:02:32","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/19/21 09:03:03","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/19/21 09:03:40","LT+LS","Bipedal vig","","","","","",""
"Scan","5/19/21 09:04:05","LT+TB","Digging","LT","","","","",""
"Scan","5/19/21 09:04:35","SH+T","Scrabling","","","","","",""
"Scan","5/19/21 09:04:51","RR+LT","Moving","","","","","",""
"Scan","5/19/21 09:05:23","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/19/21 09:05:54","RR+RT","Moving","","","","","",""
"Scan","5/19/21 09:06:12","RR+TB","Scrabling","","","","","",""
"Scan","5/19/21 09:06:43","RR+RS (+RT)","Foraging","","","","","",""
"Scan","5/19/21 09:07:30","LT","Foraging","RC + MB + TB","","","","",""
"Scan","5/19/21 09:07:46","RC+MB+TB","Scrabling","RR+LT","","","","",""
"Scan","5/19/21 09:08:02","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/19/21 09:09:18","LT+RT (+T)","Digging","","","","","",""
"Scan","5/19/21 09:09:39","TB","Moving","","","","","",""
"Scan","5/19/21 09:10:26","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 09:11:03","LT+LS","Foraging","","","","","",""
"Scan","5/19/21 09:11:27","SH+T","Scrabling","","","","","",""
"Scan","5/19/21 09:11:46","RR+TB","Bipedal vig","","","","","",""
"Scan","5/19/21 09:12:16","RR+LT","Foraging","","","","","",""
"Scan","5/19/21 09:12:45","RR+RT","Foraging","","","","","",""
"Scan","5/19/21 09:12:55","RS+LS+T (+SH)","Eating","LT","","","","",""
"Scan","5/19/21 09:13:29","RR+RS (+RT)","Scrabling","LT+LS","","","","",""
"Scan","5/19/21 09:14:02","RT (+TB+LT)","Digging","","","","","",""
"Scan","5/19/21 09:14:21","RC+MB+TB","Foraging","","","","","",""
"Scan","5/19/21 09:14:51","TB","Foraging","RS+LS+T (+SH)","","","","",""
"Scan","5/19/21 09:15:11","LT","Scrabling","RR+LT","","","","",""
"Scan","5/19/21 09:16:04","LT+TB","Scrabling","","","","","",""
"Scan","5/19/21 09:16:40","LT+LS","Digging","","","","","",""
"Scan","5/19/21 09:17:19","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/19/21 09:17:36","RR+LT","Scrabling","","","","","",""
"Scan","5/19/21 09:18:03","RR+TB","Foraging","","","","","",""
"Scan","5/19/21 09:18:16","RR+RT","Foraging","","","","","",""
"Scan","5/19/21 09:18:34","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/19/21 09:19:13","SH+T","Scrabling","","","","","",""
"Scan","5/19/21 09:19:35","RR+RS (+RT)","Digging","RC + MB + TB","","","","",""
"Scan","5/19/21 09:19:57","RT (+TB+LT)","Digging","","","","","",""
"Scan","5/19/21 09:20:15","TB","Scrabling","","","","","",""
