"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","11/08/2019 10:03:29","RS","Scrabling","","","","","",""
"Scan","11/08/2019 10:04:07","RR + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:04:22","RS + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:04:56","H","Scrabling","","","","","",""
"Scan","11/08/2019 10:05:15","MB","Scrabling","MB + RS","","","","",""
"Scan","11/08/2019 10:05:36","H + TB","Foraging","","","","","",""
"Scan","11/08/2019 10:06:03","H + RT","Running","","","","","",""
"Scan","11/08/2019 10:06:22","LS","Scrabling","","","","","",""
"Scan","11/08/2019 10:07:36","RS + TBL","Foraging","","","","","",""
"Scan","11/08/2019 10:07:49","RS","Scrabling","H + LT","","","","",""
"Scan","11/08/2019 10:08:13","H","Scrabling","","","","","",""
"Scan","11/08/2019 10:08:24","LT","Scrabling","","","","","",""
"Scan","11/08/2019 10:09:26","RR + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:09:39","RS + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:10:13","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:10:48","H + RT","Scanning","","","","","",""
"Scan","11/08/2019 10:11:18","LS","Foraging","","","","","",""
"Scan","11/08/2019 10:11:36","MB","Scrabling","","","","","",""
"Scan","11/08/2019 10:13:33","RS","Scrabling","H + LT","","","","",""
"Scan","11/08/2019 10:13:54","LT","Scrabling","","","","","",""
"Scan","11/08/2019 10:14:03","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:14:17","RS + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:14:24","H","Scrabling","","","","","",""
"Scan","11/08/2019 10:15:10","RR + TBL","Foraging","","","","","",""
"Scan","11/08/2019 10:17:33","RS + TBL","Scrabling","H + TBL","","","","",""
"Scan","11/08/2019 10:17:46","H","Foraging","","","","","",""
"Scan","11/08/2019 10:18:15","RS","Foraging","","","","","",""
"Scan","11/08/2019 10:19:05","RR + TBL","Foraging","","","","","",""
"Scan","11/08/2019 10:19:42","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:20:57","H","Scrabling","","","","","",""
"Scan","11/08/2019 10:21:24","RS + TBL","Running","","","","","",""
"Scan","11/08/2019 10:21:40","MB","Scrabling","H + RT","","","","",""
"Scan","11/08/2019 10:22:22","RS","Scrabling","LT","","","","",""
"Scan","11/08/2019 10:22:40","RT","Scrabling","","","","","",""
"Scan","11/08/2019 10:23:10","LT","Scrabling","","","","","",""
"Scan","11/08/2019 10:24:20","RS","Foraging","","","","","",""
"Scan","11/08/2019 10:24:33","LT","Scrabling","","","","","",""
"Scan","11/08/2019 10:25:05","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:30:03","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:31:25","RT","Foraging","","","","","",""
"Scan","11/08/2019 10:31:38","MB","Eating","","","","","",""
"Scan","11/08/2019 10:31:51","RS","Foraging","","","","","",""
"Scan","11/08/2019 10:32:16","RR + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:32:53","LT","Foraging","","","","","",""
"Scan","11/08/2019 10:33:10","RS","Foraging","","","","","",""
"Scan","11/08/2019 10:33:31","RT","Scrabling","","","","","",""
"Event","11/08/2019 10:33:46","","","","","Sentinel","RS + RT + TBL","Start","70cm"
"Scan","11/08/2019 10:34:25","LS","Scrabling","","","","","",""
"Scan","11/08/2019 10:34:39","MB","Scrabling","","","","","",""
"Scan","11/08/2019 10:35:51","MB","Scrabling","","","","","",""
"Scan","11/08/2019 10:36:02","RS","Foraging","","","","","",""
"Scan","11/08/2019 10:36:14","LS","Scrabling","","","","","",""
"Event","11/08/2019 10:36:19","","","","","Sentinel","RS + RT + TBL","Already stopped",""
"Scan","11/08/2019 10:36:47","MB","Scrabling","","","","","",""
"Event","11/08/2019 10:37:32","","","","","Sentinel","SH + MB + TBL","Start","160cm"
"Scan","11/08/2019 10:38:19","RS + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:39:01","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:40:32","MB","Running","SH + MB + TBL","","","","",""
"Scan","11/08/2019 10:40:57","LT","Scrabling","","","","","",""
"Scan","11/08/2019 10:41:16","LS","Scrabling","","","","","",""
"Scan","11/08/2019 10:41:38","RT","Scrabling","","","","","",""
"Scan","11/08/2019 10:42:22","H","Scrabling","MB + RS","","","","",""
"Event","11/08/2019 10:42:44","","","","","Sentinel","SH + MB + TBL","Already stopped",""
"Scan","11/08/2019 10:42:52","RS","Running","","","","","",""
"Scan","11/08/2019 10:43:12","MB","Scanning","","","","","",""
"Scan","11/08/2019 10:43:38","RR + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:43:47","RS + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:44:18","LS","Scrabling","","","","","",""
"Scan","11/08/2019 10:44:35","H + TB","Scrabling","","","","","",""
"Scan","11/08/2019 10:45:02","LT","Scrabling","","","","","",""
"Scan","11/08/2019 10:46:13","LS","Scrabling","","","","","",""
"Scan","11/08/2019 10:46:52","RS + TBL","Scrabling","","","","","",""
"Scan","11/08/2019 10:47:28","RT","Scrabling","","","","","",""
"Scan","11/08/2019 10:48:12","LS","Scrabling","","","","","",""
"Scan","11/08/2019 10:48:22","H + TB","Eating","SH + MB + TBL","","","","",""
"Scan","11/08/2019 10:48:50","LT","Scrabling","H + TBL","","","","",""
