"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Event","6/27/19 09:59:31","","","","","Alarm running","Ukn","Ponctual",""
"Scan","6/27/19 10:01:33","MB + TB","Bipedal vig","","","","","",""
"Scan","6/27/19 10:02:08","MB + RS","Running","","","","","",""
"Scan","6/27/19 10:02:51","MB + LS","Foraging","","","","","",""
"Scan","6/27/19 10:04:16","RT","Bipedal vig","","","","","",""
"Scan","6/27/19 10:04:37","TB","Foraging","","","","","",""
"Scan","6/27/19 10:05:18","LT","Bipedal vig","","","","","",""
"Scan","6/27/19 10:05:36","RS","Scrabling","","","","","",""
"Scan","6/27/19 10:06:06","LS","Running","","","","","",""
"Scan","6/27/19 10:06:49","MB + TB","Moving","RT, RS, LS","","","","",""
"Scan","6/27/19 10:07:48","MB + RS","Bipedal vig","","","","","",""
"Scan","6/27/19 10:08:00","MB + LS","Bipedal vig","","","","","",""
"Scan","6/27/19 10:08:48","RT","Scrabling","","","","","",""
"Scan","6/27/19 10:08:58","TB","Scrabling","H + TB, RS + TB","","","","",""
"Scan","6/27/19 10:09:32","LT","Scrabling","SH + TB","","","","",""
"Scan","6/27/19 10:09:45","RS","Moving","TB, RT","","","","",""
"Scan","6/27/19 10:10:04","LS","Moving","","","","","",""
"Scan","6/27/19 10:10:16","MB + TB","Digging","RT + TB, LT + TB, MB + LS","","","","",""
"Event","6/27/19 10:10:37","","","","","Alarm running","MB + LS","Start",""
"Event","6/27/19 10:11:37","","","","","Alarm running","MB + LS","Already stopped",""
"Scan","6/27/19 10:12:22","MB + RS","Bipedal vig","H + MB, TB","","","","",""
"Scan","6/27/19 10:13:15","MB + LS","Digging","LS + TB, MB + LT","","","","",""
"Scan","6/27/19 10:13:37","RT","Scrabling","RT + TB","","","","",""
"Event","6/27/19 10:14:10","","","","","Sentinel","LS + TB","Already started","0cm"
"Scan","6/27/19 10:16:57","TB","Scrabling","","","","","",""
"Scan","6/27/19 10:17:22","LT","Scanning","","","","","",""
"Scan","6/27/19 10:17:44","RS","Scrabling","H + TB","","","","",""
"Event","6/27/19 10:18:06","","","","","Sentinel","LS + TB","Already stopped",""
"Scan","6/27/19 10:18:52","LS","Scrabling","","","","","",""
"Scan","6/27/19 10:19:45","MB + TB","Bipedal vig","","","","","",""
"Scan","6/27/19 10:21:04","MB + RS","Scrabling","","","","","",""
"Scan","6/27/19 10:21:19","MB + LS","Foraging","MB + LT","","","","",""
"Event","6/27/19 10:22:27","","","","","Alarm running","Ukn","Start",""
"Event","6/27/19 10:22:54","","","","","Alarm running","Ukn","Stop",""
"Scan","6/27/19 10:23:24","RT","Scrabling","LS","","","","",""
"Scan","6/27/19 10:24:24","TB","Scrabling","MB + LS","","","","",""
"Scan","6/27/19 10:24:57","LT","Scrabling","H + TB","","","","",""
"Scan","6/27/19 10:25:10","RS","Scrabling","LS","","","","",""
"Scan","6/27/19 10:25:15","LS","Scrabling","RS","","","","",""
"Scan","6/27/19 10:25:30","MB + TB","Scanning","","","","","",""
"Scan","6/27/19 10:25:49","MB + RS","Bipedal vig","LT + TB","","","","",""
"Scan","6/27/19 10:26:23","MB + LS","Bipedal vig","","","","","",""
"Scan","6/27/19 10:27:26","RT","Bipedal vig","MB + LT, RS, LS","","","","",""
"Scan","6/27/19 10:27:49","TB","Bipedal vig","H + TB, RS + TB, MB + TB, MB + LS, RS, LS","","","","",""
"Scan","6/27/19 10:28:40","LT","Scrabling","","","","","",""
"Scan","6/27/19 10:28:49","RS","Scrabling","LT","","","","",""
"Scan","6/27/19 10:29:12","LS","Moving","LT + TB, MB + TB","","","","",""
"Event","6/27/19 10:29:35","","","","","Alarm running","LS","Start",""
"Scan","6/27/19 10:29:51","MB + TB","Running","","","","","",""
"Scan","6/27/19 10:31:15","MB + RS","Moving","","+5","","","",""
"Scan","6/27/19 10:33:00","MB + LS","Scanning","MB + RS","","","","",""
"Scan","6/27/19 10:34:10","RT","Scanning","H + TB, RS + TB, MB + LS","","","","",""
"Scan","6/27/19 10:34:44","TB","Scrabling","LT + TB","","","","",""
"Event","6/27/19 10:34:59","","","","","Alarm running","Ukn","Already stopped",""
"Event","6/27/19 10:35:30","","","","","Alarm running","Ukn","Already started",""
"Scan","6/27/19 10:35:53","LT","Moving","",">7","","","",""
"Event","6/27/19 10:36:09","","","","","Alarm running","Ukn","Already stopped",""
"Scan","6/27/19 10:37:14","RS","Scanning","H + TB, LS + TB, LT + TB, RS + TB, LS","","","","",""
"Scan","6/27/19 10:37:54","LS","Scrabling","H + TB, LS + TB, RS","+3","","","",""
"Scan","6/27/19 10:38:29","MB + TB","Scrabling","TB","","","","",""
"Scan","6/27/19 10:38:47","MB + RS","Scanning","","","","","",""
"Event","6/27/19 10:39:04","","","","","Alarm scanning","Ukn","Ponctual",""
"Scan","6/27/19 10:39:22","MB + LS","Scanning","RS + TB","","","","",""
"Scan","6/27/19 10:39:40","RT","Scrabling","LS","","","","",""
"Scan","6/27/19 10:39:56","TB","Scanning","LS + LT","","","","",""
