"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/18/21 08:14:03","TB","Scrabling","RR+RT","","","","",""
"Scan","5/18/21 08:14:53","RR+RT","Other","RR+RS (+RT)","","","","","sunning "
"Scan","5/18/21 08:15:47","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/18/21 08:16:14","LT+TB","Foraging","","","","","",""
"Scan","5/18/21 08:17:03","RR+LT","Other","","","","","","sunning "
"Scan","5/18/21 08:17:41","RR+TB","Scrabling","","","","","",""
"Scan","5/18/21 08:19:31","RC+MB+TB","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/18/21 08:19:52","RT (+TB+LT)","Other","RC + MB + TB","","","","","sunning "
"Scan","5/18/21 08:21:31","RR+LT","Other","","","","","","sunning "
"Scan","5/18/21 08:22:16","LT","Scrabling","","","","","",""
"Scan","5/18/21 08:22:39","SH+T","Scrabling","","","","","",""
"Scan","5/18/21 08:23:02","LT+LS","Scrabling","RR+TB","","","","",""
"Scan","5/18/21 08:23:47","RS+LS+T (+SH)","Other","","","","","","sunning "
"Scan","5/18/21 08:25:33","RR+RT","Scrabling","","","","","",""
"Scan","5/18/21 08:25:47","RR+LT","Scrabling","LT+LS","","","","",""
"Scan","5/18/21 08:26:14","RR+TB","Scrabling","","","","","",""
"Scan","5/18/21 08:26:46","RR+RS (+RT)","Self-directed behaviour","","","","","",""
"Scan","5/18/21 08:27:16","TB","Other","","","","","","moving"
"Scan","5/18/21 08:27:58","LT","Scrabling","","","","","",""
"Scan","5/18/21 08:28:19","RC+MB+TB","Other","LT+RT (+T)","","","","","sunning "
"Scan","5/18/21 08:28:44","RT (+TB+LT)","Scrabling","RR+RT","","","","",""
"Scan","5/18/21 08:29:28","LT+RT (+T)","Foraging","RC + MB + TB","","","","",""
"Scan","5/18/21 08:29:53","SH+T","Scrabling","","","","","",""
"Scan","5/18/21 08:30:16","LT+TB","Scrabling","","","","","",""
"Scan","5/18/21 08:30:31","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/18/21 08:31:23","LT+LS","Foraging","","","","","",""
"Scan","5/18/21 08:31:58","RR+TB","Bipedal vig","RR+RS (+RT)","","","","",""
"Scan","5/18/21 08:32:45","RR+LT","Other","RR+RS (+RT)","","","","","sunning "
"Scan","5/18/21 08:42:38","RR+RT","Bipedal vig","","","","","",""
"Scan","5/18/21 08:43:01","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/18/21 08:43:27","TB","Bipedal vig","RR+TB, LT","","","","",""
"Scan","5/18/21 08:43:59","LT","Scrabling","RR+RT, TB","","","","",""
"Scan","5/18/21 08:46:00","RT (+TB+LT)","Scrabling","RS+LS+T (+SH), RR+LT, LT+TB, TB","","","","",""
"Scan","5/18/21 08:46:31","SH+T","Scrabling","RR+TB","","","","",""
"Scan","5/18/21 08:46:56","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/18/21 08:47:18","RC+MB+TB","Digging","RT (+TB+LT), LT","","","","",""
"Scan","5/18/21 08:47:41","LT+TB","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/18/21 08:48:10","LT+LS","Scrabling","RR+RS (+RT), LT","","","","",""
"Scan","5/18/21 08:48:40","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/18/21 08:49:13","RR+LT","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/18/21 08:49:55","RR+RS (+RT)","Scrabling","RR+LT, LT+LS","","","","",""
"Scan","5/18/21 08:53:33","RR+TB","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/18/21 08:53:56","RR+RT","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/18/21 09:10:41","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/18/21 09:10:54","TB","Eating","RT (+TB+LT)","","","","",""
"Scan","5/18/21 09:11:20","SH+T","Scrabling","TB","","","","",""
"Scan","5/18/21 09:11:46","LT","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/18/21 09:12:48","RC+MB+TB","Bipedal vig","","","","","",""
"Scan","5/18/21 09:13:46","RS+LS+T (+SH)","Scrabling","RC + MB + TB, RR+TB","","","","",""
"Scan","5/18/21 09:14:16","LT+TB","Eating","","","","","",""
"Scan","5/18/21 09:15:14","LT+LS","Scrabling","","","","","",""
"Scan","5/18/21 09:16:17","RR+RT","Scrabling","LT+TB, LT","","","","",""
"Scan","5/18/21 09:16:56","RR+LT","Scrabling","","","","","",""
"Scan","5/18/21 09:17:14","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/18/21 09:17:25","RR+RT","Scrabling","RC + MB + TB","","","","",""
"Scan","5/18/21 09:17:48","RR+TB","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/18/21 09:18:07","SH+T","Scrabling","","","","","",""
"Scan","5/18/21 09:18:25","LT","Foraging","","","","","",""
"Scan","5/18/21 09:19:13","TB","Foraging","","","","","",""
"Scan","5/18/21 09:19:30","RT (+TB+LT)","Eating","","","","","",""
"Scan","5/18/21 09:20:06","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/18/21 09:20:27","RS+LS+T (+SH)","Scrabling","RR+TB","","","","",""
"Scan","5/18/21 09:21:14","LT+TB","Scrabling","","","","","",""
"Scan","5/18/21 09:21:37","LT+RT (+T)","Digging","","","","","",""
"Scan","5/18/21 09:21:54","LT+LS","Scrabling","","","","","",""
"Scan","5/18/21 09:22:34","RR+LT","Foraging","","","","","",""
"Scan","5/18/21 09:22:48","RR+RS (+RT)","Digging","TB, RT (+TB+LT), LT","","","","",""
"Scan","5/18/21 09:23:38","RR+RT","Scrabling","RC + MB + TB","","","","",""
"Scan","5/18/21 09:23:51","RR+TB","Foraging","LT+LS","","","","",""
"Scan","5/18/21 09:24:14","LT","Foraging","","","","","",""
"Scan","5/18/21 09:24:30","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/18/21 09:24:46","RC+MB+TB","Scrabling","LT+LS","","","","",""
"Scan","5/18/21 09:25:05","SH+T","Eating","","","","","",""
"Scan","5/18/21 09:25:29","TB","Foraging","LT+RT (+T)","","","","",""
"Scan","5/18/21 09:26:00","LT+TB","Foraging","","","","","",""
"Scan","5/18/21 09:26:32","LT+RT (+T)","Foraging","TB","","","","",""
"Scan","5/18/21 09:27:02","LT+LS","Eating","LT","","","","",""
"Scan","5/18/21 09:27:32","RS+LS+T (+SH)","Other","","","","","","peeing"
"Scan","5/18/21 09:28:04","RR+LT","Foraging","","","","","",""
"Scan","5/18/21 09:28:30","RR+TB","Scrabling","","","","","",""
"Scan","5/18/21 09:29:33","RR+RT","Foraging","","","","","",""
"Scan","5/18/21 09:29:57","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/18/21 09:30:14","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/18/21 09:30:27","LT","Scrabling","","","","","",""
"Scan","5/18/21 09:30:53","RC+MB+TB","Foraging","","","","","",""
"Scan","5/18/21 09:31:05","TB","Foraging","","","","","",""
"Scan","5/18/21 09:31:22","SH+T","Eating","","","","","",""
"Scan","5/18/21 09:31:35","LT+TB","Scrabling","","","","","",""
"Scan","5/18/21 09:33:05","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/18/21 09:33:26","LT+LS","Scrabling","RC + MB + TB","","","","",""
"Scan","5/18/21 09:34:33","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/18/21 09:35:21","RS+LS+T (+SH)","Eating","","","","","",""
