"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","7/12/19 13:55:58","MB + TB","Bipedal vig","","","","","",""
"Scan","7/12/19 13:58:43","RT","Scrabling","SH + LT","","","","",""
"Event","7/12/19 14:00:06","","","","","Sentinel","RT + TB","Already started","20cm"
"Scan","7/12/19 14:00:44","TB","Scrabling","","","","","",""
"Scan","7/12/19 14:01:09","LT","Scrabling","","","","","",""
"Scan","7/12/19 14:01:59","RS","Foraging","","","","","",""
"Event","7/12/19 14:06:39","","","","","Sentinel","RT + TB","Already stopped",""
"Event","7/12/19 14:07:30","","","","","Sentinel","RT + TB","Already started","0cm"
"Scan","7/12/19 14:08:24","TB","Scrabling","","","","","",""
"Scan","7/12/19 14:09:32","LT","Scrabling","MB + LT","","","","",""
"Scan","7/12/19 14:10:58","RT","Scrabling","","","","","",""
"Scan","7/12/19 14:11:20","RS","Scrabling","","","","","",""
"Scan","7/12/19 14:12:21","MB + TB","Scrabling","RS","","","","",""
"Scan","7/12/19 14:12:54","RT","Scrabling","","","","","",""
"Scan","7/12/19 14:13:42","LS","Scrabling","","","","","",""
"Scan","7/12/19 14:13:53","TB","Scrabling","","","","","",""
"Scan","7/12/19 14:14:14","LT","Scrabling","","","","","",""
"Scan","7/12/19 14:14:59","RS","Foraging","LS + TB","","","","",""
"Scan","7/12/19 14:16:49","LS","Scrabling","","","","","",""
"Scan","7/12/19 14:17:18","MB + TB","Scrabling","","","","","",""
"Scan","7/12/19 14:17:49","RT","Other","","","","","","pancaking"
"Scan","7/12/19 14:18:36","TB","Moving","H + TB, LS","","","","",""
"Scan","7/12/19 14:18:50","LT","Scrabling","TB","","","","",""
"Scan","7/12/19 14:19:02","LS","Scrabling","TB","","","","",""
"Scan","7/12/19 14:19:45","RS","Scanning","","","","","",""
"Scan","7/12/19 14:20:13","MB + TB","Scrabling","SH + LT, MB + LT","","","","",""
"Event","7/12/19 14:20:41","","","","","Sentinel","RT + TB","Already stopped",""
"Scan","7/12/19 14:20:52","RT","Scrabling","TB","","","","",""
"Scan","7/12/19 14:20:59","TB","Scrabling","RT","","","","",""
"Scan","7/12/19 14:21:57","LT","Scrabling","SH + LT","","","","",""
"Scan","7/12/19 14:22:06","LS","Foraging","","","","","",""
"Scan","7/12/19 14:22:41","RS","Foraging","SH + LT","","","","",""
"Scan","7/12/19 14:23:06","MB + TB","Scrabling","","","","","",""
"Scan","7/12/19 14:23:31","RT","Foraging","","","","","",""
"Scan","7/12/19 14:23:40","TB","Scrabling","MB + LT","","","","",""
"Scan","7/12/19 14:23:58","LT","Scrabling","MB + LT","","","","",""
"Scan","7/12/19 14:24:33","RS","Foraging","","","","","",""
"Scan","7/12/19 14:25:39","LS","Scrabling","MB + LS","","","","",""
"Scan","7/12/19 14:26:08","MB + TB","Foraging","","","","","",""
"Scan","7/12/19 14:27:18","TB","Foraging","","","","","",""
"Scan","7/12/19 14:27:45","LT","Foraging","","","","","",""
"Scan","7/12/19 14:28:07","LS","Scrabling","","","","","",""
"Scan","7/12/19 14:28:48","RS","Foraging","","","","","",""
"Scan","7/12/19 14:29:18","MB + TB","Foraging","SH + LT","","","","",""
"Scan","7/12/19 14:29:54","TB","Foraging","","","","","",""
"Scan","7/12/19 14:30:12","LT","Scrabling","H + TB","","","","",""
"Scan","7/12/19 14:30:26","RS","Foraging","","","","","",""
"Scan","7/12/19 14:31:11","LS","Scrabling","","","","","",""
"Scan","7/12/19 14:31:28","RT","Scrabling","","","","","",""
"Scan","7/12/19 14:32:25","MB + TB","Bipedal vig","MB + RS, TB, LT","","","","",""
"Scan","7/12/19 14:32:44","TB","Foraging","MB + TB, MB + RS, LT","","","","",""
"Scan","7/12/19 14:32:57","LT","Social","MB + TB, MB + RS, TB","","","","","foraging comp with f22"
"Event","7/12/19 14:33:35","","","","","Alarm scanning","MB + TB","Already started",""
