"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/24/21 08:16:59","RC+MB+TB","Other","RR+TB","","","","","sunning "
"Scan","5/24/21 08:17:38","LT+TB","Other","RT (+TB+LT)","","","","","sunning "
"Scan","5/24/21 08:18:14","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/24/21 08:18:33","RR+RS (+RT)","Foraging","","","","","",""
"Scan","5/24/21 08:19:01","RR+RT","Scrabling","","","","","",""
"Scan","5/24/21 08:19:19","SH+T","Scrabling","LT","","","","",""
"Scan","5/24/21 08:19:59","LT+LS","Scrabling","RR+LT","","","","",""
"Scan","5/24/21 08:20:21","RR+LT","Scrabling","","","","","",""
"Scan","5/24/21 08:21:22","RR+TB","Other","","","","","","gt on Camille "
"Scan","5/24/21 08:22:01","TB","Foraging","RC + MB + TB","","","","",""
"Scan","5/24/21 08:22:37","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/24/21 08:22:52","LT","Moving","LT+LS","","","","",""
"Scan","5/24/21 08:23:31","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/24/21 08:23:55","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/24/21 08:24:08","LT+TB","Foraging","","","","","",""
"Scan","5/24/21 08:24:47","LT+LS","Scrabling","","","","","",""
"Scan","5/24/21 08:25:42","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/24/21 08:26:09","RR+RT","Eating","","","","","",""
"Scan","5/24/21 08:26:42","RR+RS (+RT)","Digging","RR+LT","","","","",""
"Scan","5/24/21 08:26:59","RR+LT","Digging","RR+RS (+RT)","","","","",""
"Scan","5/24/21 08:27:20","SH+T","Scrabling","TB","","","","",""
"Scan","5/24/21 08:27:48","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/24/21 08:28:01","RR+TB","Scrabling","","","","","",""
"Scan","5/24/21 08:28:17","LT","Scrabling","","","","","",""
"Scan","5/24/21 08:28:32","TB","Other","","","","","","quadrupedal vigilance "
"Scan","5/24/21 08:31:08","RT (+TB+LT)","Eating","","","","","",""
"Scan","5/24/21 08:31:42","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/24/21 08:32:06","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/24/21 08:32:16","LT+LS","Self-directed behaviour","LT+RT (+T), LT","","","","",""
"Scan","5/24/21 08:32:59","LT+TB","Other","SH+T, RT (+TB+LT)","","","","","renovating BH"
"Scan","5/24/21 08:33:37","SH+T","Scrabling","","","","","",""
"Scan","5/24/21 08:33:57","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/24/21 08:34:26","RR+RT","Scrabling","","","","","",""
"Scan","5/24/21 08:34:46","RR+TB","Scrabling","","","","","",""
"Scan","5/24/21 08:35:28","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/24/21 08:35:56","RR+LT","Scrabling","","","","","",""
"Scan","5/24/21 08:36:11","TB","Foraging","","","","","",""
"Scan","5/24/21 08:36:46","LT","Scrabling","RR+RS (+RT)","","","","",""
"Scan","5/24/21 08:37:22","RT (+TB+LT)","Scrabling","TB","","","","",""
"Scan","5/24/21 08:37:58","RC+MB+TB","Moving","","","","","",""
"Scan","5/24/21 08:38:17","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/24/21 08:38:31","LT+LS","Scrabling","","","","","",""
"Scan","5/24/21 08:38:59","LT+TB","Digging","","","","","",""
"Scan","5/24/21 08:39:27","RS+LS+T (+SH)","Other","SH+T","","","","","submitting to SH T "
"Scan","5/24/21 08:39:59","SH+T","Scrabling","","","","","",""
"Scan","5/24/21 08:40:16","RR+LT","Eating","LT+TB","","","","",""
"Scan","5/24/21 08:40:40","RR+RT","Scrabling","","","","","",""
"Scan","5/24/21 08:41:01","RR+RS (+RT)","Digging","","","","","",""
"Scan","5/24/21 08:41:18","RR+TB","Scrabling","","","","","",""
"Scan","5/24/21 08:41:35","LT","Scrabling","RR+TB, RR+LT","","","","",""
"Scan","5/24/21 08:41:56","TB","Foraging","RR+RT","","","","",""
"Scan","5/24/21 08:42:16","RR+RT","Scrabling","RR+LT, LT+RT (+T), LT+LS","","","","",""
"Scan","5/24/21 08:42:46","RC+MB+TB","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/24/21 08:43:08","LT+LS","Digging","","","","","",""
"Scan","5/24/21 08:43:22","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/24/21 08:43:47","LT+TB","Scrabling","LT+RT (+T), LT+LS","","","","",""
"Scan","5/24/21 08:44:11","SH+T","Scrabling","RR+RS (+RT)","","","","",""
"Scan","5/24/21 08:44:33","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/24/21 08:44:48","RR+RS (+RT)","Scrabling","SH+T, LT","","","","",""
"Scan","5/24/21 08:45:08","RR+TB","Scrabling","","","","","",""
"Scan","5/24/21 08:45:29","RR+LT","Scrabling","","","","","",""
"Scan","5/24/21 08:45:43","RR+RT","Scrabling","","","","","",""
"Scan","5/24/21 08:46:01","TB","Eating","LT+LS","","","","",""
"Scan","5/24/21 08:46:17","RT (+TB+LT)","Digging","","","","","",""
"Scan","5/24/21 08:46:40","LT","Eating","","","","","",""
"Scan","5/24/21 08:47:07","RC+MB+TB","Other","","","","","","quadrupedal vigilance "
"Scan","5/24/21 08:47:30","LT+LS","Bipedal vig","","","","","",""
"Scan","5/24/21 08:47:59","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/24/21 08:48:17","LT+TB","Scrabling","TB","","","","",""
"Scan","5/24/21 08:48:44","SH+T","Scrabling","RR+LT, LT+LS","","","","",""
"Scan","5/24/21 08:49:09","RS+LS+T (+SH)","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/24/21 08:49:26","RR+RT","Bipedal vig","","","","","",""
"Scan","5/24/21 08:49:48","RR+TB","Scrabling","TB","","","","",""
