"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","18/07/2019 13:56:17","RS + TB","Scrabling","","","","","",""
"Scan","18/07/2019 14:00:09","MB + TB","Foraging","","","","","",""
"Scan","18/07/2019 14:01:10","RT","Scanning","","","","","",""
"Scan","18/07/2019 14:01:22","LS","Scrabling","","","","","",""
"Scan","18/07/2019 14:04:04","LT","Foraging","","","","","",""
"Scan","18/07/2019 14:04:29","TB","Scrabling","RT + TB","","","","",""
"Scan","18/07/2019 14:04:54","RS","Scrabling","MB + LT","","","","",""
"Scan","18/07/2019 14:07:34","LS","Pancaking","MB + LS","","","","",""
"Scan","18/07/2019 14:08:48","RS + TB","Bipedal vig","","","","","",""
"Scan","18/07/2019 14:12:21","RS + TB","Scrabling","","","","","",""
"Scan","18/07/2019 14:12:53","MB + TB","Foraging","","","","","",""
"Scan","18/07/2019 14:13:59","LS","Scrabling","","","","","",""
"Scan","18/07/2019 14:14:22","RT","Bipedal vig","","","","","",""
"Scan","18/07/2019 14:18:19","RS","Foraging","","","","","",""
"Scan","18/07/2019 14:18:44","LT","Eating","RT + TB","","","","",""
"Scan","18/07/2019 14:20:40","RS","Scrabling","MB + LT","","","","",""
"Scan","18/07/2019 14:20:58","LT","Scrabling","H + TB","","","","",""
"Scan","18/07/2019 14:24:08","RS + TB","Scrabling","MB + LS","","","","",""
"Scan","18/07/2019 14:24:22","RT","Scrabling","","","","","",""
"Scan","18/07/2019 14:24:39","LS","Scrabling","","","","","",""
"Scan","18/07/2019 14:24:48","MB + TB","Running","","","","","",""
"Scan","18/07/2019 14:25:48","RS + TB","Foraging","","","","","",""
"Scan","18/07/2019 14:26:09","RT","Foraging","","","","","",""
"Scan","18/07/2019 14:26:20","MB + TB","Scrabling","","","","","",""
"Scan","18/07/2019 14:26:41","LS","Scanning","RS + TB, MB + LS","","","","",""
"Scan","18/07/2019 14:27:09","MB + TB","Moving","","","","","",""
"Scan","18/07/2019 14:28:44","LT","Scrabling","","","","","",""
"Scan","18/07/2019 14:32:01","MB + TB","Scrabling","","","","","",""
"Scan","18/07/2019 14:32:14","RT","Scrabling","","","","","",""
"Scan","18/07/2019 14:32:33","LT","Scrabling","","","","","",""
"Scan","18/07/2019 14:32:59","RS","Foraging","LT","","","","",""
"Scan","18/07/2019 14:33:11","TB","Scrabling","","","","","",""
