"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","10/08/2019 10:02:41","H + RT","Foraging","","","","","",""
"Scan","10/08/2019 10:02:55","MB","Scrabling","","","","","",""
"Scan","10/08/2019 10:03:11","LT","Scrabling","H + RT","","","","",""
"Scan","10/08/2019 10:03:29","H + MB","Scrabling","","+1","","","","h"
"Scan","10/08/2019 10:04:19","LS","Foraging","RS","","","","",""
"Scan","10/08/2019 10:04:29","RS","Foraging","LS","","","","",""
"Scan","10/08/2019 10:04:55","RT","Foraging","","","","","",""
"Scan","10/08/2019 10:05:48","LT","Bipedal vig","","","","","",""
"Scan","10/08/2019 10:06:08","LT","Bipedal vig","LS","","","","",""
"Scan","10/08/2019 10:07:08","H + TB","Moving","","","","","",""
"Scan","10/08/2019 10:07:26","H","Scrabling","","","","","",""
"Scan","10/08/2019 10:07:48","MB","Foraging","","","","","",""
"Scan","10/08/2019 10:08:31","RT","Scrabling","RS + TBL","","","","",""
"Scan","10/08/2019 10:08:59","LS","Scrabling","","","","","",""
"Scan","10/08/2019 10:09:22","LT","Foraging","","","","","",""
"Scan","10/08/2019 10:10:17","H","Moving","RS + RT + TBL","","","","",""
"Scan","10/08/2019 10:10:40","H + TB","Foraging","","","","","",""
"Scan","10/08/2019 10:11:04","H + RT","Moving","","","","","",""
"Scan","10/08/2019 10:11:29","MB","Moving","RR + TBL, LS + TBL","","","","",""
"Scan","10/08/2019 10:11:58","RT","Moving","H + RT","","","","",""
"Scan","10/08/2019 10:12:19","RS","Moving","MB + LT","","","","",""
"Scan","10/08/2019 10:12:47","LT","Moving","MB + LT, RS","","","","",""
"Scan","10/08/2019 10:13:34","H","Foraging","","","","","",""
"Scan","10/08/2019 10:13:50","MB","Moving","LT + TBL","","","","",""
"Scan","10/08/2019 10:14:19","RT","Scrabling","","","","","",""
"Scan","10/08/2019 10:14:35","LT","Scrabling","","","","","",""
"Scan","10/08/2019 10:14:45","RS","Foraging","MB + RS","","","","",""
"Scan","10/08/2019 10:15:19","LS","Foraging","RT","","","","",""
"Scan","10/08/2019 10:16:17","RS","Bipedal vig","","","","","",""
"Scan","10/08/2019 10:16:41","LT","Moving","H + LT","","","","",""
"Scan","10/08/2019 10:17:37","H","Bipedal vig","RT","","","","",""
"Scan","10/08/2019 10:17:48","RT","Bipedal vig","H","","","","",""
"Scan","10/08/2019 10:18:08","H + RT","Pancaking","","","","","",""
"Scan","10/08/2019 10:18:35","H","Foraging","RR + TBL","","","","",""
"Scan","10/08/2019 10:18:49","LS","Scrabling","H + LT","","","","",""
"Scan","10/08/2019 10:19:33","LT","Scrabling","","","","","",""
"Scan","10/08/2019 10:19:47","RS","Bipedal vig","H + TBL","","","","",""
"Scan","10/08/2019 10:20:15","MB","Foraging","RS","","","","",""
"Scan","10/08/2019 10:21:02","RT","Foraging","H + LT, H","","","","",""
"Scan","10/08/2019 10:21:28","LS","Foraging","SH + MB + TBL","","","","",""
"Scan","10/08/2019 10:21:47","H + RT","Foraging","","","","","",""
"Scan","10/08/2019 10:22:49","MB","Bipedal vig","","+4","","","",""
"Scan","10/08/2019 10:23:24","H + MB","Other","MB + LT","","","","","submitting "
"Scan","10/08/2019 10:26:31","H + TB","Bipedal vig","","","","","",""
"Scan","10/08/2019 10:27:30","H + MB","Foraging","","","","","",""
"Scan","10/08/2019 10:27:45","MB","Foraging","H + LT","","","","",""
"Scan","10/08/2019 10:28:06","LT","Foraging","SH + MB + TBL","","","","",""
"Scan","10/08/2019 10:28:19","RT","Scrabling","MB + RS, RR + TBL, LT + TBL","","","","",""
"Scan","10/08/2019 10:28:51","H","Bipedal vig","","","","","",""
"Scan","10/08/2019 10:29:04","RS","Moving","","","","","",""
"Scan","10/08/2019 10:29:21","LT","Foraging","LT + TBL, RS","","","","",""
"Event","10/08/2019 10:29:48","","","","","Alarm running","Ukn","Start",""
"Scan","10/08/2019 10:30:25","H + RT","Bipedal vig","","","","","",""
"Scan","10/08/2019 10:30:42","H + MB","Digging","RS + RT + TBL","","","","",""
"Scan","10/08/2019 10:31:45","LS","Foraging","H","","","","",""
"Scan","10/08/2019 10:32:00","RS","Moving","","","","","",""
"Scan","10/08/2019 10:32:47","H","Moving","","","","","",""
"Scan","10/08/2019 10:33:54","MB","Foraging","MB + RS, H","","","","",""
"Scan","10/08/2019 10:34:20","RT","Foraging","","","","","",""
"Scan","10/08/2019 10:34:44","H + RT","Foraging","","","","","",""
"Scan","10/08/2019 10:35:59","RS","Foraging","","","","","",""
"Scan","10/08/2019 10:36:15","H","Foraging","","","","","",""
"Scan","10/08/2019 10:36:33","RT","Foraging","RS","","","","",""
"Scan","10/08/2019 10:37:10","H + MB","Foraging","SH + MB + TBL","","","","",""
"Scan","10/08/2019 10:39:09","H + RT","Foraging","","","","","",""
"Scan","10/08/2019 10:39:33","H + MB","Scanning","H + LT","","","","",""
"Scan","10/08/2019 10:40:01","RT","Foraging","","","","","",""
"Scan","10/08/2019 10:40:21","RS","Foraging","MB","","","","",""
"Scan","10/08/2019 10:40:32","MB","Moving","","","","","",""
"Scan","10/08/2019 10:40:50","LS","Scrabling","","","","","",""
"Scan","10/08/2019 10:41:11","LT","Foraging","","","","","",""
"Scan","10/08/2019 10:41:35","H + TB","Moving","","","","","",""
"Scan","10/08/2019 10:42:34","H","Scrabling","","","","","",""
"Scan","10/08/2019 10:43:04","MB","Scrabling","MB + RS","","","","",""
"Scan","10/08/2019 10:43:26","RS","Scrabling","","","","","",""
"Scan","10/08/2019 10:43:57","LT","Moving","MB + LT","","","","",""
"Scan","10/08/2019 10:44:19","H + TB","Foraging","","","","","",""
"Scan","10/08/2019 10:44:49","H","Scrabling","","","","","",""
"Scan","10/08/2019 10:45:02","RT","Scrabling","RS + TBL","","","","",""
"Scan","10/08/2019 10:45:53","LS","Scrabling","RS + RT + TBL","","","","",""
"Scan","10/08/2019 10:46:12","RS","Eating","","","","","",""
"Scan","10/08/2019 10:46:31","H + TB","Moving","MB + LT","","","","",""
"Scan","10/08/2019 10:47:19","H + MB","Scrabling","RT","","","","",""
"Scan","10/08/2019 10:47:39","H + RT","Scrabling","","","","","",""
"Scan","10/08/2019 10:48:12","RT","Foraging","","","","","",""
"Scan","10/08/2019 10:48:47","RS","Foraging","","","","","",""
"Scan","10/08/2019 10:49:54","LT","Scrabling","","","","","",""
"Scan","10/08/2019 10:50:05","MB","Scrabling","SH + MB + TBL","","","","",""
"Scan","10/08/2019 10:50:26","H","Eating","","","","","",""
"Scan","10/08/2019 10:52:02","H + MB","Digging","","","","","",""
