"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","6/28/19 11:10:43","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 11:11:18","RT","Foraging","","","","","",""
"Scan","6/28/19 11:11:40","LT","Social","MB + RS","","","","","forgot comp lt won"
"Scan","6/28/19 11:12:21","RS","Scrabling","","","","","",""
"Scan","6/28/19 11:12:30","LS","Foraging","","","","","",""
"Scan","6/28/19 11:12:48","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 11:14:03","RS + TB","Bipedal vig","","","","","",""
"Scan","6/28/19 11:14:39","TB","Scrabling","","","","","",""
"Scan","6/28/19 11:14:50","MB + TB","Scanning","","","","","",""
"Scan","6/28/19 11:16:19","MB + LS","Foraging","","","","","",""
"Scan","6/28/19 11:16:41","MB + RS","Foraging","","","","","",""
"Scan","6/28/19 11:17:18","RT","Scrabling","","","","","",""
"Event","6/28/19 11:18:09","","","","","Sentinel","LS + LT","Already stopped",""
"Event","6/28/19 11:18:34","RS + TB","","","","Sentinel","RS + TB","Already started","160cm"
"Scan","6/28/19 11:20:15","TB","Scrabling","","","","","",""
"Scan","6/28/19 11:22:01","LT","Scrabling","","","","","",""
"Scan","6/28/19 11:22:42","RS","Scrabling","","","","","",""
"Scan","6/28/19 11:22:56","LS","Scrabling","","","","","",""
"Event","6/28/19 11:23:10","","","","","Sentinel","RS + TB","Already stopped",""
"Scan","6/28/19 11:24:00","RS + TB","Scrabling","","","","","",""
"Scan","6/28/19 11:24:32","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 11:25:00","MB + RS","Foraging","","","","","",""
"Scan","6/28/19 11:25:43","MB + LT","Bipedal vig","","","","","",""
"Scan","6/28/19 11:26:30","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 11:27:07","RT","Scrabling","TB","","","","",""
"Scan","6/28/19 11:27:18","TB","Scrabling","H + MB, RT","","","","",""
"Scan","6/28/19 11:27:30","LT","Scrabling","","","","","",""
"Event","6/28/19 11:29:36","","","","","Sentinel","LT + TB","Already started","110cm"
"Scan","6/28/19 11:30:09","RS","Moving","H + TB","","","","",""
"Event","6/28/19 11:30:30","","","","","Encounter","H + TB","Start","f1 sees unknown meerk great follows to wd chase"
"Scan","6/28/19 11:30:57","LS","Bipedal vig","",">7","","","",""
"Event","6/28/19 11:32:36","","","","","Sentinel","LT + TB","Already stopped",""
"Scan","6/28/19 11:33:51","RS + TB","Scrabling","","","","","",""
"Event","6/28/19 11:35:46","","","","","Encounter","","Stop",""
"Scan","6/28/19 11:36:33","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 11:36:42","MB + RS","Scrabling","RT + TB, MB + LT","","","","",""
"Scan","6/28/19 11:36:52","MB + LT","Bipedal vig","RT + TB","","","","",""
"Scan","6/28/19 11:37:11","MB + LS","Foraging","TB, RT","","","","",""
"Scan","6/28/19 11:37:25","RT","Foraging","MB + LS, TB","","","","",""
"Scan","6/28/19 11:37:33","TB","Foraging","MB + LS, RT","","","","",""
"Event","6/28/19 11:37:45","","","","","Encounter","","Already started","see f10 wd chase"
"Scan","6/28/19 11:40:09","LT","Scanning","H + MB, MB + TB, MB + RS, TB","","","","",""
"Scan","6/28/19 11:40:49","RS","Social","TB, LT","","","","","playing"
"Scan","6/28/19 11:41:14","LS","Social","RS + TB, LT, RS","","","","","playing"
"Event","6/28/19 11:41:41","","","","","Encounter","","Stop","chased away f10"
"Scan","6/28/19 11:42:18","RS + TB","Bipedal vig","H + MB","","","","",""
"Scan","6/28/19 11:42:39","MB + TB","Scrabling","LS","","","","",""
"Scan","6/28/19 11:43:31","MB + RS","Foraging","","","","","",""
"Scan","6/28/19 11:43:48","MB + LT","Foraging","","","","","",""
"Scan","6/28/19 11:43:59","MB + LS","Scrabling","RT + TB","","","","",""
"Scan","6/28/19 11:44:24","RT","Scrabling","MB + LT","","","","",""
"Scan","6/28/19 11:45:01","TB","Foraging","H + TB, LS","","","","",""
"Scan","6/28/19 11:45:33","LT","Scrabling","","","","","",""
"Event","6/28/19 11:46:03","","","","","Encounter","","Start","see f10 chase"
"Scan","6/28/19 11:47:07","RS","Scrabling","TB, LS","","","","",""
"Scan","6/28/19 11:47:19","LS","Bipedal vig","H + MB","","","","",""
"Event","6/28/19 11:47:32","","","","","Encounter","","",""
"Scan","6/28/19 11:48:11","RS + TB","Scrabling","","","","","",""
"Scan","6/28/19 11:48:34","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 11:50:04","MB + LT","Foraging","","","","","",""
"Scan","6/28/19 11:50:26","MB + LS","Foraging","","","","","",""
"Scan","6/28/19 11:50:55","MB + RS","Foraging","","","","","",""
"Scan","6/28/19 11:52:41","RT","Scrabling","","","","","",""
"Scan","6/28/19 11:53:22","TB","Foraging","MB + LS","","","","",""
"Scan","6/28/19 11:54:22","LT","Scrabling","RT","","","","",""
"Scan","6/28/19 11:54:40","RS","Scrabling","H + MB","","","","",""
"Scan","6/28/19 11:54:51","LS","Foraging","","","","","",""
"Scan","6/28/19 11:56:14","RS + TB","Foraging","","","","","",""
"Scan","6/28/19 11:58:35","MB + TB","Eating","MB + RS","","","","","was runing around with it first like she was looking for a pup"
"Scan","6/28/19 11:59:50","MB + RS","Bipedal vig","","","","","",""
"Scan","6/28/19 12:00:44","MB + LT","Scrabling","","","","","",""
"Scan","6/28/19 12:01:01","MB + LS","Bipedal vig","","","","","",""
"Scan","6/28/19 12:01:26","RT","Foraging","","","","","",""
"Scan","6/28/19 12:01:34","TB","Foraging","","","","","",""
"Scan","6/28/19 12:02:50","LT","Scrabling","","","","","",""
"Scan","6/28/19 12:03:00","RS","Scrabling","LT + TB","","","","",""
"Scan","6/28/19 12:03:47","LS","Foraging","","","","","",""
"Scan","6/28/19 12:04:32","RS + TB","Scrabling","","","","","",""
"Scan","6/28/19 12:05:13","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 12:05:38","MB + RS","Scrabling","","","","","",""
"Scan","6/28/19 12:06:24","MB + LT","Scrabling","","","","","",""
"Scan","6/28/19 12:06:58","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 12:07:31","RT","Bipedal vig","","","","","",""
"Scan","6/28/19 12:08:03","TB","Scrabling","","","","","",""
"Scan","6/28/19 12:08:33","LT","Social","H + TB","","","","","grovelling and grooming get f1 f1 letting her groom"
"Event","6/28/19 12:09:55","","","","","Alarm running","Ukn","Ponctual",""
"Scan","6/28/19 12:10:10","RS","Bipedal vig","MB + LT","","","","",""
"Scan","6/28/19 12:10:25","LS","Foraging","MB + RS","","","","",""
"Scan","6/28/19 12:11:47","RS + TB","Scrabling","LT + TB","","","","",""
"Scan","6/28/19 12:12:42","MB + TB","Bipedal vig","RS + TB","","","","",""
"Scan","6/28/19 12:13:30","MB + RS","Scrabling","LT + TB","","","","",""
"Scan","6/28/19 12:13:52","MB + LT","Scanning","","","","","",""
"Scan","6/28/19 12:14:19","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 12:16:39","TB","Foraging","","","","","",""
"Scan","6/28/19 12:17:01","LT","Scrabling","","","","","",""
"Scan","6/28/19 12:17:29","RS","Foraging","","","","","",""
"Scan","6/28/19 12:17:43","RT","Scrabling","LS","","","","",""
"Scan","6/28/19 12:18:01","LS","Scrabling","MB + TB","","","","",""
"Scan","6/28/19 12:18:33","RS + TB","Foraging","","","","","",""
"Scan","6/28/19 12:18:47","MB + TB","Foraging","","","","","",""
"Scan","6/28/19 12:21:27","MB + RS","Scrabling","","","","","",""
"Scan","6/28/19 12:23:36","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 12:24:15","RT","Foraging","","","","","",""
"Scan","6/28/19 12:25:35","MB + LT","Foraging","H + MB","","","","",""
"Scan","6/28/19 12:25:52","TB","Scrabling","","","","","",""
"Scan","6/28/19 12:27:27","LT","Foraging","","","","","",""
"Scan","6/28/19 12:27:44","RS","Eating","RT","","","","",""
"Scan","6/28/19 12:28:49","LS","Scrabling","MB + TB","","","","",""
"Scan","6/28/19 12:29:10","RS + TB","Scrabling","","","","","",""
"Scan","6/28/19 12:29:43","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 12:30:04","MB + RS","Scrabling","","","","","",""
"Scan","6/28/19 12:30:24","MB + LT","Foraging","","","","","",""
"Scan","6/28/19 12:31:25","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 12:31:43","RT","Foraging","","","","","",""
"Scan","6/28/19 12:32:06","TB","Scrabling","MB + TB","","","","",""
"Scan","6/28/19 12:33:30","LT","Scrabling","","","","","",""
"Scan","6/28/19 12:34:37","RS","Scrabling","","","","","",""
"Scan","6/28/19 12:35:03","LS","Running","","","","","",""
"Event","6/28/19 12:36:41","","","","","Alarm running","H + TB","Start",""
"Scan","6/28/19 12:37:10","RS + TB","Social","MB + TB, LS","","","","","sniffing ls"
"Scan","6/28/19 12:37:29","MB + TB","Bipedal vig","","","","","",""
"Event","6/28/19 12:37:36","","","","","Alarm running","H + TB","Already stopped",""
"Scan","6/28/19 12:37:59","MB + RS","Scrabling","","","","","",""
"Scan","6/28/19 12:38:16","MB + LT","Digging","H + TB","","","","",""
"Event","6/28/19 12:38:37","","","","","Alarm scanning","H + TB","Ponctual",""
"Event","6/28/19 12:38:56","","","","","Alarm running","H + TB","Start",""
"Scan","6/28/19 12:39:21","MB + LS","Moving","RS + TB","+4","","","",""
"Scan","6/28/19 12:39:51","RT","Scanning","H + MB","","","","",""
"Event","6/28/19 12:40:00","","","","","Alarm running","H + TB","Stop",""
"Scan","6/28/19 12:40:42","TB","Scrabling","H + TB, RS + TB","","","","",""
"Scan","6/28/19 12:41:05","LT","Foraging","LS","","","","",""
"Scan","6/28/19 12:41:19","RS","Scrabling","RT + TB, MB + LS","","","","",""
"Scan","6/28/19 12:41:42","LS","Scrabling","","","","","",""
"Scan","6/28/19 12:42:12","RS + TB","Foraging","MB + LT, TB","","","","",""
"Scan","6/28/19 12:42:31","MB + TB","Scrabling","","","","","",""
"Event","6/28/19 12:44:00","","","","","Sentinel","RT + TB","",""
"Event","6/28/19 12:44:11","","","","","Alarm scanning","RS + TB","Start",""
"Scan","6/28/19 12:44:44","MB + RS","Scanning","RT + TB, LT + TB, RS","","","","",""
"Event","6/28/19 12:45:11","","","","","Alarm running","RS + TB","Stop",""
"Scan","6/28/19 12:45:50","MB + LT","Scanning","LS + TB","","","","",""
"Scan","6/28/19 12:47:24","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 12:47:44","RT","Running","","","","","",""
"Scan","6/28/19 12:48:15","TB","Scrabling","H + TB","","","","",""
"Event","6/28/19 12:48:32","","","","","Sentinel","RT + TB","Already stopped",""
"Event","6/28/19 12:48:51","","","","","Sentinel","LS + TB","Already started","0"
"Scan","6/28/19 12:49:40","LT","Scrabling","RT","","","","",""
"Scan","6/28/19 12:50:21","RS","Scrabling","","","","","",""
"Scan","6/28/19 12:50:42","LS","Scrabling","LT","","","","",""
"Scan","6/28/19 12:51:16","RS + TB","Scrabling","H + TB","","","","",""
"Event","6/28/19 12:51:27","","","","","Alarm running","H + MB","",""
"Scan","6/28/19 12:51:52","MB + TB","Bipedal vig","H + TB, RT, LT","+5","","","",""
"Scan","6/28/19 12:52:33","MB + RS","Scrabling","RS + TB, RS","","","","",""
"Event","6/28/19 12:52:48","","","","","Alarm running","H + MB","Already stopped",""
"Scan","6/28/19 12:53:09","MB + LT","Scrabling","LS","","","","",""
"Scan","6/28/19 12:53:25","MB + LS","Foraging","","","","","",""
"Scan","6/28/19 12:54:28","RT","Scrabling","MB + LT","","","","",""
"Scan","6/28/19 12:55:37","TB","Scrabling","","","","","",""
"Scan","6/28/19 12:56:34","LT","Scrabling","","","","","",""
"Scan","6/28/19 12:57:08","RS","Scrabling","H + MB, MB + RS","","","","",""
"Scan","6/28/19 12:57:38","LS","Eating","","","","","",""
"Scan","6/28/19 12:58:55","RS + TB","Scrabling","RT","","","","",""
"Scan","6/28/19 12:59:28","MB + TB","Foraging","","","","","",""
"Scan","6/28/19 13:00:05","MB + LT","Foraging","","","","","",""
