"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/23/21 08:53:38","RT (+TB+LT)","Eating","","","","","",""
"Scan","5/23/21 08:53:54","TB","Scrabling","","","","","",""
"Scan","5/23/21 08:54:28","LT","Eating","RR+TB, RR+RT, RR+RS (+RT)","","","","","pup feed from f52"
"Scan","5/23/21 08:54:55","RR+TB","Digging","RR+RS (+RT), LT","","","","",""
"Scan","5/23/21 08:55:19","RR+RT","Digging","RR+RS (+RT)","","","","",""
"Scan","5/23/21 08:55:40","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/23/21 08:56:00","RC+MB+TB","Digging","","","","","",""
"Scan","5/23/21 08:56:19","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/23/21 08:56:36","SH+T","Moving","","","","","",""
"Scan","5/23/21 08:57:18","RR+LT","Foraging","LT+TB, LT","","","","",""
"Scan","5/23/21 08:57:47","LT+TB","Foraging","","","","","",""
"Scan","5/23/21 08:58:11","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/23/21 08:58:52","LT+LS","Scrabling","","","","","",""
"Scan","5/23/21 08:59:17","RT (+TB+LT)","Digging","RC + MB + TB, TB","","","","",""
"Scan","5/23/21 08:59:33","TB","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/23/21 08:59:54","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/23/21 09:00:09","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/23/21 09:00:31","SH+T","Scrabling","","","","","",""
"Scan","5/23/21 09:02:31","LT","Scrabling","","","","","",""
"Scan","5/23/21 09:02:58","RR+TB","Other","","","","","","gt on Camille "
"Scan","5/23/21 09:03:31","RR+RT","Scrabling","","","","","",""
"Scan","5/23/21 09:03:48","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/23/21 09:04:26","RR+LT","Scrabling","RR+TB, LT+TB","","","","","rr tb on gt on Camille who's doing a video focal on RR LT "
"Scan","5/23/21 09:05:32","LT+TB","Scrabling","","","","","",""
"Scan","5/23/21 09:06:44","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/23/21 09:07:29","LT+LS","Scrabling","","","","","",""
"Scan","5/23/21 09:07:47","TB","Scrabling","","","","","",""
"Scan","5/23/21 09:08:01","LT","Scrabling","","","","","",""
"Scan","5/23/21 09:08:34","RS+LS+T (+SH)","Digging","","","","","",""
"Scan","5/23/21 09:09:25","SH+T","Moving","","","","","",""
"Scan","5/23/21 09:18:57","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/23/21 09:19:34","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/23/21 09:20:30","RR+TB","Foraging","","","","","",""
"Scan","5/23/21 09:20:44","RC+MB+TB","Eating","LT+LS, TB","","","","",""
"Scan","5/23/21 09:21:19","RR+RT","Scrabling","","","","","",""
"Scan","5/23/21 09:21:34","RR+LT","Scrabling","","","","","",""
"Scan","5/23/21 09:21:56","LT+TB","Scrabling","RS+LS+T (+SH)","","","","",""
"Scan","5/23/21 09:22:42","LT+RT (+T)","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/23/21 09:23:00","LT+LS","Scrabling","RC + MB + TB, TB","","","","",""
