"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","6/26/19 09:58:57","MB + TB","Scrabling","RT","","","","",""
"Scan","6/26/19 10:01:31","MB + RS","Scrabling","","","","","",""
"Scan","6/26/19 10:02:59","MB + LS","Scrabling","","","","","",""
"Scan","6/26/19 10:03:37","RT","Foraging","","","","","",""
"Scan","6/26/19 10:04:25","TB","Scrabling","","","","","",""
"Scan","6/26/19 10:04:39","LT","Foraging","RT + TB","","","","",""
"Scan","6/26/19 10:05:19","RS","Scrabling","RS + TB, TB","","","","",""
"Scan","6/26/19 10:05:41","LS","Scrabling","LS + TB","","","","",""
"Scan","6/26/19 10:06:47","MB + TB","Bipedal vig","","","","","",""
"Scan","6/26/19 10:07:13","MB + RS","Scrabling","","","","","",""
"Event","6/26/19 10:07:40","","","","","Sentinel","MB + TB","Already started","0"
"Scan","6/26/19 10:09:10","MB + LS","Foraging","","","","","",""
"Scan","6/26/19 10:10:16","RT","Social","MB + RS","","","","","begging for food"
"Scan","6/26/19 10:13:27","LT","Foraging","","","","","",""
"Event","6/26/19 10:14:05","","","","","Sentinel","MB + TB","Already stopped",""
"Scan","6/26/19 10:14:29","RS","Eating","","","","","",""
"Scan","6/26/19 10:14:54","LS","Foraging","","","","","",""
"Scan","6/26/19 10:17:17","MB + RS","Moving","","","","","",""
"Scan","6/26/19 10:17:37","MB + LS","Scrabling","","","","","",""
"Scan","6/26/19 10:18:53","RT","Foraging","","","","","",""
"Scan","6/26/19 10:19:11","TB","Scrabling","H + MB","","","","",""
"Scan","6/26/19 10:19:42","LT","Scrabling","RS + TB","","","","",""
"Scan","6/26/19 10:20:39","RS","Foraging","","","","","",""
"Scan","6/26/19 10:20:56","LS","Scrabling","","","","","",""
"Scan","6/26/19 10:21:13","MB + TB","Scrabling","","","","","",""
"Scan","6/26/19 10:21:39","MB + RS","Scrabling","RS + TB","","","","",""
"Scan","6/26/19 10:22:21","MB + LS","Scrabling","","","","","",""
"Event","6/26/19 10:22:39","","","","","Sentinel","LT + TB","Already started","150cm"
"Scan","6/26/19 10:24:17","RT","Moving","","","","","",""
"Scan","6/26/19 10:24:29","TB","Foraging","","","","","",""
"Scan","6/26/19 10:26:53","LT","Scrabling","TB","","","","",""
"Scan","6/26/19 10:27:23","RS","Scrabling","","","","","",""
"Scan","6/26/19 10:27:55","LS","Scrabling","","","","","",""
"Scan","6/26/19 10:29:50","MB + TB","Scrabling","","","","","",""
"Scan","6/26/19 10:30:09","MB + RS","Foraging","","","","","",""
"Scan","6/26/19 10:33:32","MB + LS","Scrabling","","","","","",""
"Scan","6/26/19 10:34:39","RT","Scrabling","","","","","",""
"Event","6/26/19 10:34:53","","","","","Sentinel","LT + TB","Stop",""
"Scan","6/26/19 10:35:32","TB","Scrabling","LT","","","","",""
"Scan","6/26/19 10:35:40","LT","Scrabling","TB","","","","",""
"Scan","6/26/19 10:37:43","RS","Scrabling","","","","","",""
"Scan","6/26/19 10:38:29","LS","Foraging","","","","","",""
"Scan","6/26/19 10:40:34","MB + TB","Scrabling","","","","","",""
"Scan","6/26/19 10:41:36","MB + RS","Scanning","","","","","",""
"Scan","6/26/19 10:42:55","MB + LS","Scrabling","","","","","",""
"Scan","6/26/19 10:43:35","RT","Moving","","","","","",""
"Scan","6/26/19 10:45:15","TB","Foraging","","","","","",""
"Scan","6/26/19 10:45:47","LT","Foraging","","","","","",""
"Scan","6/26/19 10:46:13","RS","Scrabling","","","","","",""
"Scan","6/26/19 10:46:33","LS","Scrabling","","","","","",""
"Scan","6/26/19 10:48:18","MB + TB","Scrabling","","","","","",""
"Scan","6/26/19 10:48:29","MB + RS","Moving","","","","","",""
"Scan","6/26/19 10:48:47","MB + LS","Scrabling","","","","","",""
"Scan","6/26/19 10:49:14","RT","Foraging","","","","","",""
"Scan","6/26/19 10:50:12","TB","Foraging","","","","","",""
"Scan","6/26/19 10:50:22","LT","Scrabling","","","","","",""
"Scan","6/26/19 10:50:57","RS","Scrabling","H + TB, MB + LT","","","","",""
"Scan","6/26/19 10:51:18","LS","Foraging","","","","","",""
"Scan","6/26/19 10:54:03","MB + TB","Foraging","","","","","",""
"Scan","6/26/19 10:54:41","MB + RS","Scrabling","","","","","",""
"Scan","6/26/19 10:55:14","MB + LS","Foraging","","","","","",""
"Scan","6/26/19 10:55:32","RT","Scrabling","","","","","",""
"Scan","6/26/19 10:56:29","TB","Scrabling","","","","","",""
"Event","6/26/19 10:56:59","","","","","Sentinel","LT + TB","Start","40cm"
"Scan","6/26/19 10:57:28","LT","Foraging","","","","","",""
"Scan","6/26/19 10:57:41","RS","Scrabling","RT","","","","",""
