"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/21/21 08:21:27","LT+TB","Scrabling","RR+LT","","","","",""
"Scan","5/21/21 08:22:07","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/21/21 08:22:21","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/21/21 08:22:36","LT+LS","Scrabling","","","","","",""
"Scan","5/21/21 08:22:59","SH+T","Scrabling","","","","","",""
"Scan","5/21/21 08:23:15","RR+LT","Eating","","","","","",""
"Scan","5/21/21 08:23:41","RR+RT","Scrabling","","","","","",""
"Scan","5/21/21 08:24:02","RS+LS+T (+SH)","Digging","RR+RT","","","","",""
"Scan","5/21/21 08:24:44","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/21/21 08:25:54","RR+TB","Scrabling","","","","","",""
"Scan","5/21/21 08:26:26","LT","Scrabling","RR+RT","","","","",""
"Scan","5/21/21 08:26:51","TB","Scrabling","","","","","",""
"Scan","5/21/21 08:27:19","RT (+TB+LT)","Bipedal vig","","","","","",""
"Scan","5/21/21 08:27:52","LT+TB","Scrabling","","","","","",""
"Scan","5/21/21 08:28:23","LT+LS","Eating","","","","","",""
"Scan","5/21/21 08:29:24","LT+RT (+T)","Digging","","","","","",""
"Scan","5/21/21 08:30:42","SH+T","Scrabling","LT","","","","",""
"Scan","5/21/21 08:30:58","RS+LS+T (+SH)","Scrabling","RR+TB","","","","",""
"Scan","5/21/21 08:31:32","RC+MB+TB","Moving","","","","","",""
"Scan","5/21/21 08:32:08","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/21/21 08:32:28","LT","Digging","","","","","",""
"Scan","5/21/21 08:32:53","TB","Other","","","","","","peeing "
"Scan","5/21/21 08:33:23","RR+RS (+RT)","Scrabling","RC + MB + TB, TB","","","","",""
"Scan","5/21/21 08:33:46","RR+TB","Scrabling","LT","","","","",""
"Scan","5/21/21 08:34:12","RR+LT","Scrabling","","","","","",""
"Scan","5/21/21 08:34:29","RR+RT","Scrabling","RR+LT","","","","",""
"Scan","5/21/21 08:34:50","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/21/21 08:35:05","LT+LS","Scrabling","","","","","",""
"Scan","5/21/21 08:35:35","RC+MB+TB","Other","","","","","","sunning "
