"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","15/07/2019 14:00:35","MB + TB","Bipedal vig","","None","","","",""
"Scan","15/07/2019 14:03:16","RT","Scrabling","LT","","","","",""
"Scan","15/07/2019 14:04:00","TB","Other","","","","","","in tree hole"
"Scan","15/07/2019 14:04:40","LT","Scrabling","","None","","","",""
"Scan","15/07/2019 14:06:29","LS","Scrabling","H + TB, RT","","","","",""
"Scan","15/07/2019 14:08:23","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 14:08:59","RT","Scrabling","RT + TB","","","","",""
"Scan","15/07/2019 14:09:23","TB","Scrabling","","","","","",""
"Scan","15/07/2019 14:09:44","LT","Foraging","","","","","",""
"Scan","15/07/2019 14:12:28","RS","Moving","SH + TB","","","","",""
"Scan","15/07/2019 14:13:30","LS","Pancaking","RT + TB","","","","",""
"Scan","15/07/2019 14:14:37","MB + TB","Digging","H + TB, LT + TB, RS + TB, MB + LS, TB, RT, LS","","","","",""
"Scan","15/07/2019 14:17:05","RT","Other","","","","","","in tree hole with many others"
"Scan","15/07/2019 14:18:09","TB","Scrabling","H + MB","","","","",""
"Scan","15/07/2019 14:18:38","LT","Foraging","","","","","",""
"Scan","15/07/2019 14:19:22","RS","Moving","MB + LT","","","","",""
"Scan","15/07/2019 14:21:30","LS","Scrabling","","","","","",""
"Scan","15/07/2019 14:22:46","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 14:23:06","RT","Foraging","","","","","",""
"Scan","15/07/2019 14:23:21","TB","Foraging","LT + TB","","","","",""
"Scan","15/07/2019 14:24:34","LT","Foraging","H + MB","","","","",""
"Scan","15/07/2019 14:25:32","RS","Scrabling","","","","","",""
"Scan","15/07/2019 14:26:10","LS","Bipedal vig","MB + LS","","","","",""
"Scan","15/07/2019 14:27:48","MB + TB","Bipedal vig","","","","","","small alarms"
"Scan","15/07/2019 14:28:44","RT","Foraging","","","","","",""
"Scan","15/07/2019 14:29:24","TB","Scrabling","LT + TB","","","","",""
"Scan","15/07/2019 14:30:26","LT","Scrabling","","","","","",""
"Event","15/07/2019 14:31:44","","","","","Sentinel","LS + LT","Already started",""
"Event","15/07/2019 14:32:29","","","","","Alarm running","LS + LT","Ponctual",""
"Scan","15/07/2019 14:33:34","RS","Bipedal vig","","","","","",""
"Scan","15/07/2019 14:34:19","LS","Pancaking","H + TB","","","","",""
"Scan","15/07/2019 14:36:02","MB + TB","Scrabling","","","","","",""
"Scan","15/07/2019 14:37:01","RT","Foraging","","","","","",""
"Event","15/07/2019 14:39:09","","","","","Sentinel","LT + TB","Already started",""
"Scan","15/07/2019 14:40:43","RS","Foraging","","","","","",""
"Event","15/07/2019 14:37:20","","","","","Sentinel","LS + LT","Already stopped",""
"Scan","15/07/2019 14:42:37","LS","Scrabling","","","","","",""
"Scan","15/07/2019 14:45:16","MB + TB","Scrabling","","","","","",""
"Scan","15/07/2019 14:45:52","LT","Bipedal vig","","","","","",""
"Scan","15/07/2019 14:47:16","RT","Running","","","","","",""
"Event","15/07/2019 14:47:26","","","","","Alarm running","Ukn","Ponctual",""
"Scan","15/07/2019 14:51:41","RS","Scrabling","SH + TB","","","","",""
"Event","15/07/2019 14:52:25","","","","","Alarm running","Ukn","Ponctual",""
"Event","15/07/2019 14:53:01","","","","","Sentinel","LT + TB","Already stopped",""
"Scan","15/07/2019 14:53:41","LS","Other","","","","","","inside tree hole"
"Scan","15/07/2019 14:56:00","LT","Bipedal vig","H + MB","","","","",""
"Scan","15/07/2019 14:57:58","RT","Foraging","","","","","",""
"Scan","15/07/2019 14:59:23","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 15:00:55","TB","Other","","","","","","inside tree hole with many others "
"Scan","15/07/2019 15:03:37","RT","Foraging","","","","","",""
"Scan","15/07/2019 15:04:13","TB","Foraging","LS","","","","",""
"Scan","15/07/2019 15:04:30","LT","Foraging","","","","","",""
"Scan","15/07/2019 15:05:39","RS","Foraging","SH + LT","","","","",""
"Scan","15/07/2019 15:06:42","LS","Foraging","SH + TB, TB","","","","",""
"Scan","15/07/2019 15:07:45","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 15:11:14","TB","Foraging","","","","","",""
"Scan","15/07/2019 15:11:29","LT","Foraging","","","","","",""
"Scan","15/07/2019 15:11:46","LS","Foraging","","","","","",""
"Scan","15/07/2019 15:12:43","RS","Scrabling","LS + LT","","","","",""
"Scan","15/07/2019 15:13:22","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 15:13:33","RT","Scrabling","","","","","",""
"Scan","15/07/2019 15:14:38","TB","Scrabling","","","","","",""
"Scan","15/07/2019 15:14:56","LT","Foraging","","","","","",""
"Scan","15/07/2019 15:15:29","LS","Moving","","","","","",""
"Scan","15/07/2019 15:16:22","RS","Foraging","","","","","",""
"Scan","15/07/2019 15:17:00","RT","Moving","","","","","",""
"Scan","15/07/2019 15:17:42","MB + TB","Scrabling","","","","","",""
"Scan","15/07/2019 15:18:50","TB","Scanning","","","","","",""
"Scan","15/07/2019 15:20:46","LT","Bipedal vig","","","","","",""
"Scan","15/07/2019 15:20:56","LS","Bipedal vig","TB","","","","",""
"Scan","15/07/2019 15:21:53","RS","Foraging","","","","","",""
"Scan","15/07/2019 15:22:55","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 15:23:16","RT","Scrabling","","","","","",""
"Scan","15/07/2019 15:26:29","LT","Scrabling","","","","","",""
"Scan","15/07/2019 15:27:05","RS","Scrabling","","","","","",""
"Scan","15/07/2019 15:30:01","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 15:30:37","RT","Scrabling","","","","","",""
"Scan","15/07/2019 15:34:45","LT","Scrabling","","","","","",""
"Scan","15/07/2019 15:34:55","RS","Scrabling","LT","","","","",""
"Scan","15/07/2019 15:36:29","LS","Foraging","","","","","",""
"Scan","15/07/2019 15:37:38","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 15:39:01","RT","Foraging","","","","","",""
"Scan","15/07/2019 15:39:13","TB","Scrabling","LT + TB","","","","",""
"Scan","15/07/2019 15:39:45","LT","Scrabling","RT + TB","","","","",""
"Scan","15/07/2019 15:40:14","RS","Foraging","","","","","",""
"Scan","15/07/2019 15:40:44","LS","Foraging","","","","","",""
"Scan","15/07/2019 15:43:07","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 15:44:13","TB","Scrabling","","","","","",""
"Scan","15/07/2019 15:44:25","RT","Foraging","","","","","",""
"Scan","15/07/2019 15:44:41","LT","Foraging","","","","","",""
"Scan","15/07/2019 15:45:48","RS","Scrabling","","","","","",""
"Scan","15/07/2019 15:46:40","LS","Foraging","","","","","",""
"Scan","15/07/2019 15:47:19","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 15:47:45","RT","Foraging","","","","","",""
"Scan","15/07/2019 15:48:05","TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 15:48:17","LT","Scrabling","LS + LT, MB + RS","","","","",""
"Scan","15/07/2019 15:48:52","RS","Moving","MB + LT","","","","",""
"Scan","15/07/2019 15:49:10","MB + TB","Foraging","SH + LT","","","","",""
"Scan","15/07/2019 15:49:40","LS","Foraging","","","","","",""
"Scan","15/07/2019 15:50:09","RT","Scrabling","","","","","",""
"Scan","15/07/2019 15:50:37","TB","Scrabling","RT","","","","",""
"Scan","15/07/2019 15:51:07","LT","Scrabling","LS + LT","","","","",""
"Scan","15/07/2019 15:51:20","RS","Scrabling","MB + RS","","","","",""
"Scan","15/07/2019 15:52:04","LS","Foraging","","","","","",""
"Scan","15/07/2019 15:52:43","MB + TB","Foraging","SH + LT","","","","",""
"Scan","15/07/2019 15:53:45","RT","Scrabling","","","","","",""
"Scan","15/07/2019 15:53:57","TB","Moving","","","","","",""
"Scan","15/07/2019 15:54:20","LT","Scrabling","","","","","",""
"Event","15/07/2019 15:55:15","","","","","Alarm scanning","Ukn","Start",""
"Event","15/07/2019 15:55:45","","","","","Alarm scanning","Ukn","Stop",""
"Event","15/07/2019 15:56:32","","","","","Alarm scanning","Ukn","Ponctual",""
"Scan","15/07/2019 15:57:23","LS","Scrabling","SH + LT, MB + TB","","","","",""
"Scan","15/07/2019 15:57:40","MB + TB","Scrabling","","","","","",""
"Scan","15/07/2019 15:58:45","RS","Scrabling","LS","","","","",""
"Scan","15/07/2019 15:59:23","RT","Scrabling","","","","","",""
"Scan","15/07/2019 15:59:34","TB","Foraging","LS + TB","","","","",""
"Scan","15/07/2019 16:00:06","LT","Foraging","LT + TB","","","","",""
"Scan","15/07/2019 16:00:45","RS","Scrabling","","","","","",""
"Scan","15/07/2019 16:01:15","LS","Scrabling","","","","","",""
"Scan","15/07/2019 16:02:41","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:03:47","RT","Foraging","","","","","",""
"Scan","15/07/2019 16:04:09","TB","Scrabling","","","","","",""
"Scan","15/07/2019 16:05:21","RS","Foraging","","","","","",""
"Scan","15/07/2019 16:06:23","LT","Foraging","MB + RS","","","","",""
"Scan","15/07/2019 16:07:57","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:09:11","RT","Bipedal vig","","","","","","alarm"
"Scan","15/07/2019 16:09:41","TB","Scrabling","H + MB, RS + TB","","","","",""
"Scan","15/07/2019 16:10:17","LT","Scanning","","","","","",""
"Scan","15/07/2019 16:11:54","RS","Scanning","","","","","",""
"Scan","15/07/2019 16:12:49","LS","Scrabling","MB + TB, LT","","","","",""
"Scan","15/07/2019 16:13:50","MB + TB","Moving","","","","","",""
"Scan","15/07/2019 16:14:40","RT","Foraging","","","","","",""
"Scan","15/07/2019 16:14:54","TB","Scrabling","SH + TB","","","","",""
"Scan","15/07/2019 16:15:11","LT","Foraging","","","","","",""
"Scan","15/07/2019 16:15:55","RS","Foraging","H + TB","","","","",""
"Scan","15/07/2019 16:16:45","LS","Foraging","SH + TB","","","","",""
"Scan","15/07/2019 16:17:24","MB + TB","Scrabling","LS + LT","","","","",""
"Scan","15/07/2019 16:18:06","RT","Scrabling","","","","","",""
"Scan","15/07/2019 16:18:16","TB","Scrabling","","","","","",""
"Scan","15/07/2019 16:19:02","LT","Foraging","MB + LS","","","","",""
"Scan","15/07/2019 16:19:26","LS","Scrabling","RS","","","","",""
"Event","15/07/2019 16:19:48","","","","","Alarm running","Ukn","Ponctual",""
"Scan","15/07/2019 16:21:19","RS","Foraging","","","","","",""
"Scan","15/07/2019 16:21:41","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:22:43","RT","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:23:00","TB","Running","","","","","",""
"Scan","15/07/2019 16:23:35","LT","Scrabling","","","","","",""
"Scan","15/07/2019 16:23:59","LS","Scrabling","H + MB","","","","",""
"Scan","15/07/2019 16:24:43","RS","Scrabling","","","","","",""
"Scan","15/07/2019 16:25:00","MB + TB","Foraging","LT + TB, MB + RS","","","","",""
"Scan","15/07/2019 16:26:07","RT","Scrabling","","","","","",""
"Scan","15/07/2019 16:26:23","TB","Foraging","","","","","",""
"Scan","15/07/2019 16:26:43","LS","Scrabling","","","","","",""
"Scan","15/07/2019 16:27:11","LT","Scrabling","MB + LT","","","","",""
"Scan","15/07/2019 16:27:45","RS","Scrabling","","","","","",""
"Scan","15/07/2019 16:28:03","MB + TB","Scrabling","LT + TB","","","","",""
"Scan","15/07/2019 16:30:39","TB","Scrabling","SH + LT","","","","",""
"Scan","15/07/2019 16:31:12","LS","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:32:11","RT","Scrabling","","","","","",""
"Scan","15/07/2019 16:34:00","LT","Scrabling","MB + RS","","","","",""
"Scan","15/07/2019 16:34:32","RS","Foraging","MB + RS","","","","",""
"Scan","15/07/2019 16:36:06","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 16:37:00","RT","Scrabling","","","","","",""
"Scan","15/07/2019 16:38:27","LS","Scrabling","","","","","",""
"Scan","15/07/2019 16:39:24","TB","Scrabling","","","","","",""
"Scan","15/07/2019 16:40:25","RS","Foraging","","","","","",""
"Scan","15/07/2019 16:41:15","LT","Foraging","","","","","",""
"Scan","15/07/2019 16:41:26","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:42:00","RT","Scanning","TB","","","","",""
"Scan","15/07/2019 16:42:14","TB","Foraging","","","","","",""
"Scan","15/07/2019 16:42:48","LS","Foraging","","","","","",""
"Scan","15/07/2019 16:43:38","LT","Scrabling","MB + LS","","","","",""
"Scan","15/07/2019 16:44:02","RS","Foraging","","","","","",""
"Scan","15/07/2019 16:44:10","MB + TB","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:44:57","RT","Foraging","TB","","","","",""
"Scan","15/07/2019 16:45:06","TB","Scrabling","RT","","","","",""
"Scan","15/07/2019 16:45:36","LS","Moving","H + MB, TB","","","","",""
"Scan","15/07/2019 16:46:55","MB + TB","Moving","","","","","",""
"Scan","15/07/2019 16:48:10","LT","Foraging","","","","","",""
"Scan","15/07/2019 16:49:38","RT","Scrabling","","","","","",""
"Scan","15/07/2019 16:50:45","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 16:51:25","RT","Bipedal vig","","","","","",""
"Scan","15/07/2019 16:51:37","TB","Foraging","","","","","",""
"Scan","15/07/2019 16:52:03","LT","Foraging","","","","","",""
"Scan","15/07/2019 16:53:28","RS","Foraging","","","","","",""
"Scan","15/07/2019 16:55:04","MB + TB","Scrabling","","","","","",""
"Scan","15/07/2019 16:55:59","RT","Foraging","","","","","",""
"Scan","15/07/2019 16:56:05","TB","Foraging","RT","","","","",""
"Scan","15/07/2019 16:56:23","LS","Foraging","","","","","",""
"Scan","15/07/2019 16:56:55","LT","Foraging","","","","","",""
"Scan","15/07/2019 16:57:02","RS","Foraging","","","","","",""
"Scan","15/07/2019 16:57:16","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 16:57:54","RT","Foraging","","","","","",""
"Scan","15/07/2019 16:58:00","TB","Foraging","","","","","",""
"Scan","15/07/2019 16:58:14","LS","Scrabling","","","","","",""
"Scan","15/07/2019 16:58:50","LT","Foraging","","","","","",""
"Scan","15/07/2019 16:58:55","RS","Scrabling","","","","","",""
"Scan","15/07/2019 16:59:11","MB + TB","Foraging","","","","","",""
"Scan","15/07/2019 16:59:51","TB","Scrabling","","","","","",""
"Scan","15/07/2019 17:00:12","LS","Scrabling","","","","","",""
"Scan","15/07/2019 17:00:24","RT","Scrabling","SH + LT","","","","",""
"Scan","15/07/2019 17:01:07","RS","Scrabling","LT + TB","","","","",""
"Scan","15/07/2019 17:01:25","LT","Scrabling","","","","","",""
