"Type","Time","MeerkatID","Behavior","Neighbours..1m","UnID","Event.type","Emmiter","Timing","Note"
"Scan","6/24/19 10:44:45","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:45:05","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:45:26","TB","Scanning","",NA,NA,NA,NA,""
"Scan","6/24/19 10:45:33","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:45:59","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:46:08","LS","Scrabling","MB + LS",NA,NA,NA,NA,""
"Scan","6/24/19 10:47:18","MB + TB","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 10:47:32","MB + LS","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 10:47:46","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:48:00","TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 10:48:08","LT","Foraging","RT",NA,NA,NA,NA,""
"Scan","6/24/19 10:48:42","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:49:49","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:50:05","MB + TB","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 10:51:15","MB + LS","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 10:51:56","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:52:37","TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:53:07","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:53:34","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:53:43","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:54:14","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:55:22","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:56:04","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:57:01","TB","Scrabling","MB + RS",NA,NA,NA,NA,""
"Scan","6/24/19 10:57:28","LT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 10:57:46","RS","Scrabling","H + TB",NA,NA,NA,NA,""
"Scan","6/24/19 10:58:05","LS","Foraging","MB + RS",NA,NA,NA,NA,""
"Scan","6/24/19 10:58:49","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:59:42","MB + LS","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:00:15","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:00:34","TB","Foraging","RS + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:01:10","LT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:01:39","RS","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:02:22","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:03:03","MB + TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:04:35","MB + LS","Bipedal vig","MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:04:56","RT","Scrabling","H + TB, TB, LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:05:30","TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:05:54","LT","Moving","RT, LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:06:25","RS","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:06:37","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:06:53","MB + TB","Digging","MB + LT, TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:08:35","MB + LS","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 11:09:24","RT","Scrabling","H + MB",NA,NA,NA,NA,""
"Scan","6/24/19 11:09:53","TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:10:05","LT","Foraging","LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:10:19","RS","Social","MB + TB",NA,NA,NA,NA,"foraging comp"
"Scan","6/24/19 11:10:54","LS","Scrabling","LT",NA,NA,NA,NA,""
"Scan","6/24/19 11:11:16","MB + TB","Social","RS",NA,NA,NA,NA,"foraging comp"
"Scan","6/24/19 11:11:51","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:12:41","RT","Foraging","H + TB, MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:12:55","TB","Scrabling","MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:13:30","LT","Bipedal vig","LS + TB, MB + RS",NA,NA,NA,NA,""
"Scan","6/24/19 11:14:02","RS","Scrabling","LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:14:11","LS","Bipedal vig","RS + TB, TB, LT, RS",NA,NA,NA,NA,""
"Scan","6/24/19 11:14:48","MB + TB","Digging","H + MB, LT",1,NA,NA,NA,""
"Scan","6/24/19 11:16:12","MB + LS","Digging","",1,NA,NA,NA,""
"Scan","6/24/19 11:16:49","RT","","H + TB, SH + TB, LS + TB, LT + TB, MB + RS, TB, LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:17:37","TB","Digging","H + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:18:00","LT","Scanning","H + TB, SH + TB, MB + LT, MB + LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:18:54","RS","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 11:19:49","LS","Scanning","LS + TB, LT + TB, MB + LS, LT",NA,NA,NA,NA,""
"Scan","6/24/19 11:20:26","MB + TB","Scrabling","LS + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:20:43","MB + LS","Moving","",NA,NA,NA,NA,""
"Scan","6/24/19 11:21:25","RT","Moving","TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:21:38","TB","Digging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:22:12","TB","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 11:23:37","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:24:27","LS","Scanning","",NA,NA,NA,NA,""
"Scan","6/24/19 11:28:30","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:29:46","MB + LS","Foraging","SH + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:31:24","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:32:33","TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:33:54","LT","Running","H + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:34:55","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:37:21","MB + TB","Digging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:38:47","MB + LS","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 11:39:50","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:42:22","TB","Bipedal vig","H + TB, H + MB, MB + RS",NA,NA,NA,NA,""
"Scan","6/24/19 11:44:09","LT","Bipedal vig","H + TB, H + MB, TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:44:38","RS","Bipedal vig","MB + LT, LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:44:49","LS","Bipedal vig","MB + LT",NA,NA,NA,NA,""
"Scan","6/24/19 11:45:04","MB + TB","","MB + LT, MB + LS, LT, RS",NA,NA,NA,NA,""
"Scan","6/24/19 11:45:34","MB + LS","Digging","SH + TB, MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:45:56","RT","Other","LT + TB, RS + TB, MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 11:46:29","TB","Digging","RS + TB, MB + TB, RT, LT",NA,NA,NA,NA,""
"Scan","6/24/19 11:48:19","LT","Bipedal vig","MB + TB, MB + LT, MB + LS, LS",NA,NA,NA,NA,""
"Scan","6/24/19 11:52:27","RS","Running","",NA,NA,NA,NA,""
"Scan","6/24/19 11:53:35","LS","Scrabling","H + MB",NA,NA,NA,NA,""
"Scan","6/24/19 11:54:03","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:54:15","MB + LS","Foraging","MB + LT",NA,NA,NA,NA,""
"Scan","6/24/19 11:54:40","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:57:02","TB","","LS + LT, LS + TB, RT",NA,NA,NA,NA,""
"Scan","6/24/19 11:57:44","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:58:10","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 11:58:40","MB + TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 11:59:04","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:01:56","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:02:09","TB","Eating","",NA,NA,NA,NA,""
"Scan","6/24/19 12:02:32","LT","Eating","",NA,NA,NA,NA,""
"Scan","6/24/19 12:03:00","RS","","SH + TB, LT",1,NA,NA,NA,""
"Scan","6/24/19 12:03:38","LS","Bipedal vig","RS + TB, TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:04:10","MB + TB","Bipedal vig","RT, RS",NA,NA,NA,NA,""
"Scan","6/24/19 12:04:59","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:05:16","RT","Moving","TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:05:28","TB","Foraging","RS",NA,NA,NA,NA,""
"Scan","6/24/19 12:06:02","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:06:18","LT","Scanning","",NA,NA,NA,NA,""
"Scan","6/24/19 12:06:24","LS","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 12:06:36","MB + TB","Running","",NA,NA,NA,NA,""
"Scan","6/24/19 12:07:46","MB + LS","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:08:51","RT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:09:41","TB","Scrabling","H + MB",NA,NA,NA,NA,""
"Scan","6/24/19 12:09:54","LT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:10:03","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:10:36","LS","Scrabling","RT + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:10:54","MB + TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:11:40","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:13:08","RT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:13:48","TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:14:03","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:14:18","RS","Scrabling","MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:14:41","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:14:57","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:16:25","MB + LS","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:17:25","RT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:18:20","LT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:18:40","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:19:08","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:19:24","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:19:52","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:21:22","RT","Scrabling","MB + RS",NA,NA,NA,NA,""
"Scan","6/24/19 12:23:36","LT","Bipedal vig","MB + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:25:32","LS","Moving","",NA,NA,NA,NA,""
"Scan","6/24/19 12:25:50","MB + TB","Bipedal vig","",NA,NA,NA,NA,""
"Scan","6/24/19 12:29:56","MB + LS","Scrabling","LT + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:31:00","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:31:22","TB","Foraging","",NA,NA,NA,NA,""
