"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","8/11/21 09:28:14","LT","Scrabling","SHRT, RRRT, RRLT, RS","","","","",""
"Scan","8/11/21 09:26:47","RSTB","Self-directed behaviour","HLS, LT","","","","",""
"Scan","8/11/21 09:26:14","LS","Self-directed behaviour","HLS, RSTB, LT","","","","",""
"Scan","8/11/21 09:25:14","LT","Playing ","SHRT, RRLT, RS","","","","",""
"Scan","8/11/21 09:24:21","RS","Playing ","SHRT, SHLT, LT","","","","",""
"Scan","8/11/21 09:23:34","RSTB","Self-directed behaviour","HLS, LS","","","","",""
"Scan","8/11/21 09:22:17","LT","Bipedal vig","","","","","",""
"Scan","8/11/21 09:19:34","RSTB","Self-directed behaviour","RRRT, RRLT, LS","","","","","grming "
"Scan","8/11/21 09:18:38","RS","Self-directed behaviour","RSTB, LS","","","","","grming "
"Scan","8/11/21 09:17:17","LT","Playing ","SHRT, HLS, SHTB, RRRT, RRLT, RS, LS","","","","",""
"Scan","8/11/21 09:16:15","LS","Bipedal vig","SHRT, SHTB, RRRT, RRLT, LT, RS","","","","",""
"Scan","8/11/21 09:14:52","RSTB","Bipedal vig","HLS, SHTB, RRRT","","","","","all these bipedal vig are really just sunning at burrow"
"Scan","8/11/21 09:11:18","RS","Scrabling","SHRT, RRLT, LT, LS","","","","",""
"Scan","8/11/21 09:10:31","LT","Other","SHRT, RRRT, RRLT, LS","","","","","sit vig"
"Scan","8/11/21 09:09:46","LS","Bipedal vig","SHRT, HLS, RSTB, RRRT, RRRS","","","","",""
"Scan","8/11/21 09:08:46","RSTB","Bipedal vig","HLS, RRRT, RRRS, LS","","","","",""
"Scan","8/11/21 09:06:31","LT","Scrabling","RRLT","","","","",""
"Scan","8/11/21 09:05:32","RSTB","Bipedal vig","","","","","",""
"Scan","8/11/21 09:04:11","LT","Foraging","SHLT","","","","",""
"Scan","8/11/21 09:03:39","RS","Scrabling","RRRS","","","","",""
"Scan","8/11/21 09:03:27","LS","Bipedal vig","","","","","",""
"Scan","8/11/21 09:02:04","RSTB","Bipedal vig","","","","","",""
"Scan","8/11/21 09:01:17","RS","Foraging","RRRS","","","","",""
"Scan","8/11/21 09:00:32","LT","Scrabling","RRLT","","","","",""
"Scan","8/11/21 08:59:58","LS","Bipedal vig","","","","","",""
