"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","09/08/2019 10:02:02","H + TB","Foraging","","","","","",""
"Scan","09/08/2019 10:02:31","RS + TBL","Foraging","","","","","",""
"Scan","09/08/2019 10:02:38","LT","Foraging","","","","","",""
"Scan","09/08/2019 10:02:46","RS","Foraging","","","","","",""
"Scan","09/08/2019 10:03:11","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:03:35","RT","Scrabling","H + LT","","","","",""
"Scan","09/08/2019 10:04:20","H + RT","Foraging","SH + MB + TBL","","","","",""
"Scan","09/08/2019 10:04:35","LS","Foraging","","","","","",""
"Scan","09/08/2019 10:07:20","RS + TBL","Foraging","","","","","",""
"Scan","09/08/2019 10:07:32","RS","Foraging","","","","","",""
"Scan","09/08/2019 10:07:44","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:08:26","H + MB","Scrabling","","","","","",""
"Scan","09/08/2019 10:08:56","RT","Foraging","","","","","",""
"Scan","09/08/2019 10:09:31","LS","Scrabling","RS + RT + TBL","","","","",""
"Scan","09/08/2019 10:09:44","H","Foraging","","","","","",""
"Scan","09/08/2019 10:11:01","H + MB","Scrabling","","","","","",""
"Scan","09/08/2019 10:13:02","RT","Moving","","","","","",""
"Scan","09/08/2019 10:13:20","H","Moving","MB + RS","","","","",""
"Scan","09/08/2019 10:13:37","RS","Foraging","MB + LT","","","","",""
"Scan","09/08/2019 10:14:09","MB","Scrabling","","","","","",""
"Scan","09/08/2019 10:14:20","LS","Foraging","","","","","",""
"Scan","09/08/2019 10:15:25","LT","Scrabling","","","","","",""
"Scan","09/08/2019 10:15:41","H + TB","Foraging","RR + TBL","","","","",""
"Scan","09/08/2019 10:16:05","H + MB","Scrabling","","","","","",""
"Scan","09/08/2019 10:17:27","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:17:50","H","Foraging","","","","","",""
"Scan","09/08/2019 10:18:01","RT","Foraging","","","","","",""
"Scan","09/08/2019 10:18:16","LS","Moving","","","","","",""
"Scan","09/08/2019 10:18:28","RS","Foraging","","","","","",""
"Scan","09/08/2019 10:18:50","RS + TBL","Scrabling","","","","","",""
"Scan","09/08/2019 10:19:23","H + MB","Scrabling","","","","","",""
"Scan","09/08/2019 10:19:34","H + TB","Foraging","","","","","",""
"Scan","09/08/2019 10:19:53","LS","Eating","","","","","",""
"Scan","09/08/2019 10:20:50","RT","Foraging","","","","","",""
"Scan","09/08/2019 10:21:10","LS","Foraging","","","","","",""
"Scan","09/08/2019 10:21:24","RS","Scrabling","","","","","",""
"Scan","09/08/2019 10:21:47","RS + TBL","Scrabling","","","","","",""
"Scan","09/08/2019 10:22:13","H + MB","Scrabling","","","","","",""
"Scan","09/08/2019 10:22:58","LT","Eating","","","","","",""
"Scan","09/08/2019 10:23:11","H","Foraging","","","","","",""
"Scan","09/08/2019 10:23:24","H + TB","Foraging","","","","","",""
"Scan","09/08/2019 10:24:20","RT","Foraging","","","","","",""
"Scan","09/08/2019 10:24:37","MB","Running","","","","","",""
"Scan","09/08/2019 10:25:10","RS + TBL","Eating","","","","","",""
"Scan","09/08/2019 10:25:21","RS","Foraging","","","","","",""
"Scan","09/08/2019 10:25:51","LS","Foraging","","","","","",""
"Scan","09/08/2019 10:26:07","H + MB","Foraging","","","","","",""
"Scan","09/08/2019 10:26:36","LT","Foraging","LS + TBL","","","","",""
"Scan","09/08/2019 10:27:14","H","Foraging","","","","","",""
"Scan","09/08/2019 10:28:42","RS","Foraging","","","","","",""
"Scan","09/08/2019 10:28:49","RS + TBL","Foraging","LT + TBL","","","","",""
"Scan","09/08/2019 10:29:19","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:30:21","RT","Foraging","H + MB","","","","",""
"Scan","09/08/2019 10:30:32","H + MB","Foraging","RT","","","","",""
"Scan","09/08/2019 10:30:48","LS","Foraging","","","","","",""
"Scan","09/08/2019 10:31:20","LT","Foraging","","","","","",""
"Scan","09/08/2019 10:31:30","H","Foraging","","","","","",""
"Scan","09/08/2019 10:31:59","H + TB","Foraging","","","","","",""
"Scan","09/08/2019 10:33:46","RS + TBL","Scrabling","H + RT","","","","",""
"Scan","09/08/2019 10:34:05","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:34:40","RS","Foraging","","","","","",""
"Scan","09/08/2019 10:35:26","LS","Foraging","RS + TBL","","","","",""
"Scan","09/08/2019 10:35:41","RT","Foraging","LS","","","","",""
"Scan","09/08/2019 10:36:03","H","Scrabling","","","","","",""
"Scan","09/08/2019 10:36:10","H + MB","Foraging","","","","","",""
"Scan","09/08/2019 10:36:23","LT","Foraging","","","","","",""
"Scan","09/08/2019 10:36:46","H + TB","Foraging","","","","","",""
"Scan","09/08/2019 10:38:16","RS","Moving","","","","","",""
"Scan","09/08/2019 10:38:39","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:39:11","RS + TBL","Scrabling","LT + TBL","","","","",""
"Scan","09/08/2019 10:40:24","RT","Foraging","","","","","",""
"Scan","09/08/2019 10:40:48","LT","Foraging","","","","","",""
"Scan","09/08/2019 10:40:59","H","Foraging","","","","","",""
"Scan","09/08/2019 10:41:06","H + MB","Foraging","","","","","",""
"Scan","09/08/2019 10:41:56","LS","Foraging","","","","","",""
"Scan","09/08/2019 10:44:51","MB","Foraging","","","","","",""
"Scan","09/08/2019 10:44:57","RS","Scrabling","","","","","",""
