"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/20/21 08:47:06","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/20/21 08:47:29","RR+TB","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:47:49","RT (+TB+LT)","Foraging","RC + MB + TB, RR+TB","","","","",""
"Scan","5/20/21 08:48:13","TB","Eating","","","","","",""
"Scan","5/20/21 08:48:36","LT","Foraging","","","","","",""
"Scan","5/20/21 08:48:57","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/20/21 08:49:07","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 08:49:19","LT+RT (+T)","Digging","","","","","",""
"Scan","5/20/21 08:49:53","RC+MB+TB","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:50:23","LT+LS","Scrabling","RR+RT","","","","",""
"Scan","5/20/21 08:50:41","LT+TB","Scrabling","RR+RT","","","","",""
"Scan","5/20/21 08:50:59","RR+RT","Foraging","LT+TB, LT+LS","","","","",""
"Scan","5/20/21 08:51:18","RR+RS (+RT)","Scrabling","RR+LT","","","","",""
"Scan","5/20/21 08:51:34","RR+LT","Digging","RR+RS (+RT)","","","","",""
"Scan","5/20/21 08:52:10","RR+TB","Foraging","LT+RT (+T)","","","","",""
"Scan","5/20/21 08:52:38","RT (+TB+LT)","Digging","","","","","",""
"Scan","5/20/21 08:52:53","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 08:53:08","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/20/21 08:53:21","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:53:39","TB","Scrabling","LT+TB","","","","",""
"Scan","5/20/21 08:53:58","LT","Foraging","RR+LT","","","","",""
"Scan","5/20/21 08:54:24","LT+LS","Scrabling","","","","","",""
"Scan","5/20/21 08:54:44","LT+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:55:00","RR+LT","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:55:23","RR+RS (+RT)","Digging","","","","","",""
"Scan","5/20/21 08:55:39","RR+TB","Foraging","","","","","",""
"Scan","5/20/21 08:55:56","RR+LT","Foraging","RR+RT","","","","",""
"Scan","5/20/21 08:56:14","RR+RT","Scrabling","RR+LT","","","","",""
"Scan","5/20/21 08:56:39","LT","Digging","","","","","",""
"Scan","5/20/21 08:57:04","RS+LS+T (+SH)","Scrabling","TB","","","","",""
"Scan","5/20/21 08:57:20","SH+T","Scrabling","RS+LS+T (+SH)","","","","",""
"Scan","5/20/21 08:57:33","TB","Foraging","","","","","",""
"Scan","5/20/21 08:57:47","RT (+TB+LT)","Digging","RR+RT","","","","",""
"Scan","5/20/21 08:58:13","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:58:26","LT+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:58:48","LT+LS","Foraging","","","","","",""
"Scan","5/20/21 08:59:21","LT+RT (+T)","Bipedal vig","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:59:37","RR+RS (+RT)","Digging","RR+RT","","","","",""
"Scan","5/20/21 08:59:51","RR+RT","Scrabling","","","","","",""
"Scan","5/20/21 09:00:08","RR+TB","Scrabling","RS+LS+T (+SH)","","","","",""
"Scan","5/20/21 09:00:41","RR+LT","Scrabling","","","","","",""
"Scan","5/20/21 09:01:21","SH+T","Digging","","","","","",""
"Scan","5/20/21 09:01:38","TB","Scrabling","","","","","",""
"Scan","5/20/21 09:01:50","LT","Moving","","","","","",""
"Scan","5/20/21 09:02:02","RT (+TB+LT)","Foraging","","","","","",""
"Scan","5/20/21 09:02:19","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/20/21 09:02:47","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 09:03:00","LT+TB","Eating","","","","","",""
"Scan","5/20/21 09:03:23","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/20/21 09:03:50","LT+LS","Scrabling","","","","","",""
"Scan","5/20/21 09:04:15","RR+TB","Scrabling","","","","","",""
"Scan","5/20/21 09:04:27","RR+LT","Scrabling","RS+LS+T (+SH), RR+RT","","","","",""
"Scan","5/20/21 09:04:47","RR+RT","Scrabling","RR+RS (+RT), LT+TB","","","","",""
"Scan","5/20/21 09:05:02","RR+RS (+RT)","Foraging","RR+RT, LT+TB, LT","","","","",""
"Scan","5/20/21 09:05:31","RT (+TB+LT)","Scrabling","RS+LS+T (+SH), LT+TB","","","","",""
"Scan","5/20/21 09:05:52","RS+LS+T (+SH)","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/20/21 09:06:08","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 09:06:30","LT","Foraging","RR+TB, LT+LS","","","","",""
"Scan","5/20/21 09:07:01","RC+MB+TB","Moving","","","","","",""
"Scan","5/20/21 09:07:16","TB","Foraging","","","","","",""
"Scan","5/20/21 09:07:31","LT+TB","Other","","","","","","peeing"
"Scan","5/20/21 09:08:03","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/20/21 09:08:22","LT+LS","Eating","LT","","","","",""
"Scan","5/20/21 09:08:43","RR+RT","Scrabling","","","","","",""
"Scan","5/20/21 09:08:58","RR+TB","Scrabling","","","","","",""
"Scan","5/20/21 09:09:16","RR+RS (+RT)","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/20/21 09:09:35","RR+LT","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/20/21 09:10:34","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 09:10:47","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/20/21 09:11:02","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 09:11:11","LT","Scrabling","","","","","",""
"Scan","5/20/21 09:11:49","TB","Scrabling","","","","","",""
"Scan","5/20/21 09:12:03","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 09:12:28","LT+TB","Scrabling","","","","","",""
"Scan","5/20/21 09:12:42","LT+LS","Scrabling","","","","","",""
"Scan","5/20/21 09:13:03","LT+RT (+T)","Digging","","","","","",""
"Scan","5/20/21 09:13:16","RR+RT","Scrabling","","","","","",""
"Scan","5/20/21 09:13:25","RR+RS (+RT)","Foraging","","","","","",""
"Scan","5/20/21 09:13:53","RR+TB","Scrabling","RS+LS+T (+SH)","","","","",""
"Scan","5/20/21 09:14:12","RR+LT","Scrabling","","","","","",""
"Scan","5/20/21 09:14:31","TB","Foraging","","","","","",""
"Scan","5/20/21 09:14:45","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 09:15:27","RC+MB+TB","Foraging","","","","","",""
"Scan","5/20/21 09:15:51","LT","Scrabling","","","","","",""
"Scan","5/20/21 09:16:04","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 09:16:21","RS+LS+T (+SH)","Foraging","RR+RT","","","","",""
"Scan","5/20/21 09:16:47","LT+TB","Scrabling","LT","","","","",""
"Scan","5/20/21 09:17:03","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/20/21 09:17:25","LT+LS","Foraging","","","","","",""
"Scan","5/20/21 09:17:43","RR+TB","Foraging","","","","","",""
"Scan","5/20/21 09:18:06","RR+RT","Foraging","","","","","",""
"Scan","5/20/21 09:18:20","RR+LT","Eating","LT+TB","","","","",""
"Scan","5/20/21 09:18:40","RR+RS (+RT)","Scrabling","","","","","",""
