"Type","Time","MeerkatID","Behavior","Neighbours..1m","UnID","Event.type","Emmiter","Timing","Note"
"Scan","6/23/19 09:59:30","SH + LT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:00:13","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:01:20","MB + LS","Eating","","+1",NA,NA,NA,"rt"
"Scan","6/23/19 10:02:48","TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:03:45","RT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:04:17","LT","Foraging","LS + TB, MB + RS","",NA,NA,NA,""
"Scan","6/23/19 10:05:34","RS","Scrabling","TB","",NA,NA,NA,""
"Scan","6/23/19 10:06:22","LS","Scrabling","SH + LT, RT + TB","",NA,NA,NA,""
"Scan","6/23/19 10:06:50","SH + LT","Foraging","RT + TB","",NA,NA,NA,""
"Scan","6/23/19 10:09:55","MB + LS","Foraging","","+1",NA,NA,NA,"rttb"
"Scan","6/23/19 10:10:20","RT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 10:11:59","TB","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 10:12:31","LT","Moving","","",NA,NA,NA,""
"Scan","6/23/19 10:14:40","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:17:56","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:18:23","MB + LS","","","+1",NA,NA,NA,"rt tb"
"Scan","6/23/19 10:18:54","RT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 10:19:53","TB","Foraging","LT + TB","",NA,NA,NA,""
"Scan","6/23/19 10:20:32","LT","Scrabling","MB + TB","",NA,NA,NA,""
"Scan","6/23/19 10:23:15","LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 10:23:41","SH + LT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:24:14","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:24:40","RT","Scrabling","RT + TB, MB + LS","",NA,NA,NA,""
"Scan","6/23/19 10:25:20","TB","Other","LS + TB, MB + LT","None",NA,NA,NA,""
"Scan","6/23/19 10:26:06","LT","Moving","LS + TB","",NA,NA,NA,""
"Scan","6/23/19 10:28:04","LS","Scrabling","LS + TB","",NA,NA,NA,""
"Scan","6/23/19 10:29:46","SH + LT","Sentinel","","",NA,NA,NA,""
"Scan","6/23/19 10:31:42","MB + TB","Scrabling","MB + LT","",NA,NA,NA,""
"Scan","6/23/19 10:33:01","MB + LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 10:34:42","RT","Moving","RS","",NA,NA,NA,""
"Scan","6/23/19 10:35:04","TB","Scrabling","RS + TB","",NA,NA,NA,""
"Scan","6/23/19 10:35:31","LT","Foraging","RT + TB","",NA,NA,NA,""
"Scan","6/23/19 10:36:02","RS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:36:42","LS","Scrabling","RT + TB","",NA,NA,NA,""
"Scan","6/23/19 10:37:41","SH + LT","Sentinel","","",NA,NA,NA,""
"Scan","6/23/19 10:45:02","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:47:17","MB + LS","Bipedal vig","","+1",NA,NA,NA,"lt"
"Scan","6/23/19 10:48:28","RT","Scrabling","TB","",NA,NA,NA,""
"Scan","6/23/19 10:48:51","TB","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 10:49:10","LT","Bipedal vig","RS","",NA,NA,NA,""
"Scan","6/23/19 10:49:19","RS","","LS","",NA,NA,NA,""
"Scan","6/23/19 10:49:35","LS","Bipedal vig","TB, RS","",NA,NA,NA,""
"Scan","6/23/19 10:50:22","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:53:18","RT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:54:40","TB","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 10:55:24","LT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 10:56:41","RS","Moving","LS","",NA,NA,NA,""
"Scan","6/23/19 10:56:54","LS","Scrabling","RS","",NA,NA,NA,""
"Scan","6/23/19 10:57:19","MB + TB","Moving","","",NA,NA,NA,""
"Scan","6/23/19 11:01:09","MB + LS","Scrabling","","+1",NA,NA,NA,"shlt"
"Scan","6/23/19 11:01:31","RT","Scrabling","MB + LT","",NA,NA,NA,""
"Scan","6/23/19 11:03:49","LT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:04:07","RS","Eating","","",NA,NA,NA,""
"Scan","6/23/19 11:04:31","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:05:09","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:05:55","MB + LS","Foraging","","+1",NA,NA,NA,"tb"
"Scan","6/23/19 11:07:10","RT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:07:26","TB","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:07:35","LT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:08:18","RS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:09:14","LS","Scrabling","MB + LS","",NA,NA,NA,""
"Scan","6/23/19 11:09:34","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:09:58","MB + LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:10:16","RT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:10:34","TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:12:54","RS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:13:40","LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:14:07","MB + TB","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:16:31","RT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:19:22","TB","Foraging","LS + LT","",NA,NA,NA,""
"Scan","6/23/19 11:20:11","LT","Scrabling","H + TB","",NA,NA,NA,""
"Scan","6/23/19 11:20:46","RS","Foraging","H + MB","",NA,NA,NA,""
"Scan","6/23/19 11:21:19","LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:25:40","MB + TB","Scanning","LS + LT, MB + RS, LS","",NA,NA,NA,""
"Scan","6/23/19 11:26:54","MB + LS","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 11:27:28","RT","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 11:28:13","RT","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 11:31:28","LT","Social","MB + LS, TB, RS","",NA,NA,NA,"playing"
"Scan","6/23/19 11:32:05","LS","Scrabling","RT, LT","",NA,NA,NA,""
"Scan","6/23/19 11:32:39","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:32:59","MB + TB","Scrabling","LT + TB","",NA,NA,NA,""
"Scan","6/23/19 11:33:16","MB + LS","Scrabling","","+1",NA,NA,NA,"tb"
"Scan","6/23/19 11:33:40","RT","Foraging","LT","",NA,NA,NA,""
"Scan","6/23/19 11:33:57","TB","Scanning","MB + TB","",NA,NA,NA,""
"Scan","6/23/19 11:34:19","LT","Scanning","RT","",NA,NA,NA,""
"Scan","6/23/19 11:35:06","RS","Eating","MB + RS","",NA,NA,NA,""
"Scan","6/23/19 11:38:10","LS","Scanning","LS + LT","",NA,NA,NA,""
"Scan","6/23/19 11:39:13","MB + TB","Bipedal vig","H + TB, LS","",NA,NA,NA,""
"Scan","6/23/19 11:39:50","MB + LS","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 11:40:54","RT","Moving","","",NA,NA,NA,""
"Scan","6/23/19 11:41:32","LT","Social","RS, LS","",NA,NA,NA,"plating"
"Scan","6/23/19 11:42:05","RS","","RT + TB, LT + TB, MB + TB","+2",NA,NA,NA,""
"Scan","6/23/19 11:43:00","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:43:53","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:44:35","MB + LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:44:44","RT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 11:45:18","TB","Scrabling","LT","",NA,NA,NA,""
"Scan","6/23/19 11:45:26","LT","Moving","TB","",NA,NA,NA,""
"Scan","6/23/19 11:45:53","RS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:46:18","LS","","H + TB, LS + LT, MB + TB, MB + RS, TB, RS","",NA,NA,NA,""
"Scan","6/23/19 11:46:53","MB + TB","Digging","H + TB, LS + LT, MB + LT, MB + RS, TB","",NA,NA,NA,""
"Scan","6/23/19 11:47:47","MB + LS","Bipedal vig","","+2",NA,NA,NA,"mbtb & RT"
"Scan","6/23/19 11:48:27","RT","Moving","","",NA,NA,NA,""
"Scan","6/23/19 11:49:06","TB","Other","","",NA,NA,NA,"playing mic"
"Scan","6/23/19 11:49:44","LT","Scrabling","H + MB","",NA,NA,NA,""
"Scan","6/23/19 11:50:22","RS","Scrabling","LT + TB","",NA,NA,NA,""
