"Type","Time","MeerkatID","Behavior","Neighbours..1m","UnID","Event.type","Emmiter","Timing","Note"
"Scan","6/23/19 11:50:43","LS","Bipedal vig","LT","",NA,NA,NA,""
"Scan","6/23/19 11:51:11","MB + TB","Bipedal vig","","",NA,NA,NA,""
"Scan","6/23/19 11:51:33","MB + LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 11:51:56","RT","","LS + LT, TB, LT","",NA,NA,NA,""
"Scan","6/23/19 11:52:18","TB","","LS + TB","+2",NA,NA,NA,""
"Scan","6/23/19 11:52:56","LT","Scrabling","TB, RT","",NA,NA,NA,""
"Scan","6/23/19 11:53:35","RS","","LS + LT","",NA,NA,NA,""
"Scan","6/23/19 11:53:51","LS","Moving","H + TB, RS + TB, MB + TB","",NA,NA,NA,""
"Scan","6/23/19 11:54:53","MB + TB","Digging","H + TB, H + MB, LT + TB, MB + RS, RT, LT, RS, LS","",NA,NA,NA,""
"Scan","6/23/19 11:55:51","MB + LS","Bipedal vig","","+2",NA,NA,NA,"lt tb and mbtb"
"Scan","6/23/19 11:57:20","TB","","H + TB, MB + TB, MB + RS, MB + LS, RS, LS","",NA,NA,NA,""
"Scan","6/23/19 11:58:37","LT","Bipedal vig","H + MB, LS + TB, RT + TB, LT + TB, MB + LT, RT","",NA,NA,NA,""
"Scan","6/23/19 11:59:25","RS","Moving","LS + TB, LT","",NA,NA,NA,""
"Scan","6/23/19 12:00:49","MB + TB","Moving","","+1",NA,NA,NA,""
"Scan","6/23/19 12:02:02","RT","Social","RS + TB, MB + RS, TB, LT","",NA,NA,NA,""
"Scan","6/23/19 12:02:40","TB","Social","RS + TB, RT, LT","",NA,NA,NA,"playing"
"Scan","6/23/19 12:03:31","LT","","RS + TB, TB, RT","",NA,NA,NA,""
"Scan","6/23/19 12:05:08","RS","Foraging","LS + TB, MB + LS","",NA,NA,NA,""
"Scan","6/23/19 12:07:15","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:07:29","MB + TB","Bipedal vig","H + TB, H + MB, LS + TB, MB + LT, MB + LS","",NA,NA,NA,""
"Scan","6/23/19 12:08:14","MB + LS","Bipedal vig","","+6",NA,NA,NA,"mublt mbtb f1 m1 ls lstb"
"Scan","6/23/19 12:10:12","RT","Bipedal vig","RT + TB, RS + TB, TB, LT","",NA,NA,NA,""
"Scan","6/23/19 12:10:41","TB","","RT + TB, MB + TB, RT, LT","",NA,NA,NA,""
"Scan","6/23/19 12:11:02","LT","Bipedal vig","RT + TB, RS + TB, TB, RT","",NA,NA,NA,""
"Scan","6/23/19 12:11:20","RS","Social","RT + TB, RS + TB, RT","",NA,NA,NA,"playing"
"Scan","6/23/19 12:12:22","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:12:33","MB + TB","Other","LS + LT, LS","",NA,NA,NA,"mob snake"
"Scan","6/23/19 12:15:01","MB + LS","Bipedal vig","","+2",NA,NA,NA,"rt lstb"
"Scan","6/23/19 12:15:33","RT","Moving","LT + TB","",NA,NA,NA,""
"Scan","6/23/19 12:15:54","TB","Foraging","LT","",NA,NA,NA,""
"Scan","6/23/19 12:16:06","LT","Other","LS + TB, MB + TB","",NA,NA,NA,"self groom"
"Scan","6/23/19 12:16:42","RS","Other","H + MB, LT","",NA,NA,NA,"playing"
"Scan","6/23/19 12:17:15","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:17:52","MB + TB","Other","","",NA,NA,NA,"self groom"
"Scan","6/23/19 12:18:28","MB + LS","Bipedal vig","","",NA,NA,NA,""
"Scan","6/23/19 12:18:37","RT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 12:19:03","TB","Scrabling","RT","",NA,NA,NA,""
"Scan","6/23/19 12:19:43","LT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:20:26","RS","Scrabling","MB + LT","",NA,NA,NA,""
"Scan","6/23/19 12:20:47","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:21:22","MB + TB","Bipedal vig","","+7",NA,NA,NA,""
"Scan","6/23/19 12:23:02","MB + LS","Scanning","","+2",NA,NA,NA,"rt m1"
"Scan","6/23/19 12:23:36","RT","Social","MB + TB, TB, LT, RS","",NA,NA,NA,""
"Scan","6/23/19 12:24:33","TB","Social","H + TB, MB + LT, RS","",NA,NA,NA,"playing"
"Scan","6/23/19 12:25:07","LT","","H + TB, LS + TB, MB + LT, TB, RT, RS, LS","",NA,NA,NA,""
"Scan","6/23/19 12:25:47","RS","Social","RT, LT","",NA,NA,NA,"playing"
"Scan","6/23/19 12:26:06","LS","Bipedal vig","LT + TB, RT","",NA,NA,NA,""
"Scan","6/23/19 12:26:27","MB + TB","Bipedal vig","H + TB, LS + LT, SH + LT, LS + TB, LT + TB, RT, LT, RS, LS","",NA,NA,NA,""
"Scan","6/23/19 12:27:10","MB + LS","Bipedal vig","",">7",NA,NA,NA,""
"Scan","6/23/19 12:27:49","RT","Social","TB, LT, RS, LS","",NA,NA,NA,"playing"
"Scan","6/23/19 12:28:28","TB","Social","MB + TB, RT, LT, RS, LS","",NA,NA,NA,"playing"
"Scan","6/23/19 12:28:56","LT","Social","MB + TB, TB, RT, RS, LS","",NA,NA,NA,"playing"
"Scan","6/23/19 12:29:17","RS","Social","LS + TB, MB + TB, TB, RT, LT, LS","",NA,NA,NA,"m14 hs"
"Scan","6/23/19 12:30:01","LS","Social","LT + TB, MB + TB, TB, RT, LT, RS","",NA,NA,NA,"playing"
"Scan","6/23/19 12:30:35","MB + TB","","LT + TB, TB, RT, RS","",NA,NA,NA,""
"Scan","6/23/19 12:34:15","RT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 12:35:19","TB","Scrabling","MB + TB","",NA,NA,NA,""
"Scan","6/23/19 12:37:17","LT","Moving","","",NA,NA,NA,""
"Scan","6/23/19 12:39:37","RS","Scrabling","H + TB","",NA,NA,NA,""
"Scan","6/23/19 12:39:54","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:41:24","MB + LS","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 12:42:57","RT","Bipedal vig","","",NA,NA,NA,""
"Scan","6/23/19 12:43:20","TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:45:07","RS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:45:23","LS","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:46:46","MB + TB","Scanning","","",NA,NA,NA,""
"Scan","6/23/19 12:48:07","RT","Scrabling","H + TB","",NA,NA,NA,""
"Scan","6/23/19 12:48:33","TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:49:12","LT","Foraging","","",NA,NA,NA,""
"Scan","6/23/19 12:49:40","RS","Moving","","",NA,NA,NA,""
"Scan","6/23/19 12:50:04","LS","Eating","RS","",NA,NA,NA,""
"Scan","6/23/19 12:51:06","MB + TB","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 12:53:51","RT","Moving","LS + LT","",NA,NA,NA,""
"Scan","6/23/19 12:54:23","TB","Eating","RS","",NA,NA,NA,""
"Scan","6/23/19 12:55:33","LT","Foraging","RT","",NA,NA,NA,""
"Scan","6/23/19 12:55:57","RS","Foraging","MB + LT, MB + RS","",NA,NA,NA,""
"Scan","6/23/19 12:56:22","LS","Moving","H + TB, RS + TB, MB + TB","",NA,NA,NA,""
"Scan","6/23/19 12:56:42","MB + TB","Scrabling","H + TB","",NA,NA,NA,""
"Scan","6/23/19 12:57:45","MB + LS","Bipedal vig","","",NA,NA,NA,""
"Scan","6/23/19 12:59:59","RT","Digging","RS + TB, MB + LT, RS","+1",NA,NA,NA,""
"Scan","6/23/19 13:00:54","LT","Scrabling","","",NA,NA,NA,""
"Scan","6/23/19 13:01:07","RS","Foraging","H + TB, LS + LT, LS + TB, RS + TB","",NA,NA,NA,""
