"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","16/07/2019 14:00:47","TB","Scrabling","","","","","",""
"Scan","16/07/2019 14:01:41","MB + TB","Bipedal vig","RS","","","","",""
"Scan","16/07/2019 14:02:04","RS","Scanning","MB + TB","","","","",""
"Scan","16/07/2019 14:03:01","RT","Other","","+3","","","","playing"
"Scan","16/07/2019 14:05:01","LT","Scrabling","","","","","",""
"Scan","16/07/2019 14:07:28","TB","Scrabling","LT + TB","","","","",""
"Scan","16/07/2019 14:07:40","RS","Scrabling","RT","","","","",""
"Scan","16/07/2019 14:07:52","RT","Scrabling","MB + LT","","","","",""
"Scan","16/07/2019 14:08:49","MB + TB","Scrabling","","","","","",""
"Scan","16/07/2019 14:09:47","LT","Scrabling","H + MB","","","","",""
"Scan","16/07/2019 14:11:18","LS","Scrabling","","","","","",""
"Scan","16/07/2019 14:12:27","MB + TB","Scrabling","LT + TB","","","","",""
"Scan","16/07/2019 14:12:44","RT","Scrabling","","","","","",""
"Scan","16/07/2019 14:12:53","TB","Moving","RT + TB","","","","",""
"Scan","16/07/2019 14:13:12","RS","Scrabling","","","","","",""
"Scan","16/07/2019 14:13:27","LS","Scrabling","","","","","",""
"Scan","16/07/2019 14:14:11","LT","Other","","","","","","under tree"
"Scan","16/07/2019 14:16:08","MB + TB","Scrabling","","","","","",""
"Scan","16/07/2019 14:16:29","RT","Foraging","","","","","",""
"Scan","16/07/2019 14:16:40","TB","Foraging","","","","","",""
"Scan","16/07/2019 14:16:54","RS","Foraging","","","","","",""
"Scan","16/07/2019 14:17:19","LS","Moving","","","","","",""
"Scan","16/07/2019 14:18:27","LT","Foraging","","","","","",""
"Scan","16/07/2019 14:20:28","MB + TB","Other","","+2","","","","in tree hole"
"Scan","16/07/2019 14:21:02","RT","Foraging","TB","","","","",""
"Scan","16/07/2019 14:21:14","TB","Scrabling","RT","","","","",""
"Scan","16/07/2019 14:21:23","LS","Scrabling","","","","","",""
"Scan","16/07/2019 14:21:58","RS","Scrabling","","","","","",""
"Scan","16/07/2019 14:23:00","LT","Scrabling","","","","","",""
"Scan","16/07/2019 14:24:01","MB + TB","Scrabling","RT + TB","","","","",""
"Scan","16/07/2019 14:24:43","RT","Bipedal vig","","","","","",""
"Event","16/07/2019 14:24:55","","","","","Alarm running","Ukn","Ponctual",""
"Scan","16/07/2019 14:25:20","TB","Other","MB + TB","+5","","","","at tree hole"
"Scan","16/07/2019 14:26:14","RS","Social","","+6","","","","at tree hole"
"Scan","16/07/2019 14:26:38","LS","Social","MB + LS, TB, RT, RS","+2","","","","at tree hole"
"Event","16/07/2019 14:27:52","","","","","Alarm scanning","Ukn","Already started","pet, lt, guacamole, f1"
"Scan","16/07/2019 14:28:39","RS","Social","H + TB, SH + TB","","","","",""
"Scan","16/07/2019 14:29:37","MB + TB","Pancaking","MB + LT, RT, RS","","","","",""
"Scan","16/07/2019 14:30:17","RS","Other","MB + TB","","","","","self grooming"
"Scan","16/07/2019 14:30:58","TB","Bipedal vig","MB + LS, RT","","","","",""
"Scan","16/07/2019 14:32:11","RT","Foraging","","","","","",""
"Scan","16/07/2019 14:32:21","LS","Scrabling","RT + TB","","","","",""
"Scan","16/07/2019 14:33:06","LT","Scrabling","","","","","",""
"Scan","16/07/2019 14:34:17","MB + TB","Scrabling","","","","","",""
"Scan","16/07/2019 14:34:38","RT","Scrabling","MB + LT, TB","","","","",""
"Scan","16/07/2019 14:34:53","TB","Scrabling","RT","","","","",""
"Scan","16/07/2019 14:36:00","RS","Scrabling","TB","","","","",""
"Scan","16/07/2019 14:36:20","LS","Scrabling","LS + TB","","","","",""
"Event","16/07/2019 14:36:50","","","","","Alarm scanning","Ukn","Ponctual",""
"Scan","16/07/2019 14:37:05","LT","Scrabling","MB + RS","","","","",""
"Scan","16/07/2019 14:37:35","MB + TB","Foraging","RS + TB","","","","",""
"Scan","16/07/2019 14:39:30","RT","Scrabling","","","","","",""
"Scan","16/07/2019 14:39:52","TB","Scrabling","","","","","",""
"Scan","16/07/2019 14:40:13","RS","Scrabling","","","","","",""
"Scan","16/07/2019 14:40:22","LS","Scrabling","","","","","",""
"Scan","16/07/2019 14:41:21","MB + TB","Scrabling","","","","","",""
"Event","16/07/2019 14:41:56","","","","","Alarm scanning","Ukn","Start",""
"Event","16/07/2019 14:42:08","","","","","Alarm running","Ukn","Ponctual",""
"Scan","16/07/2019 14:43:21","RT","Social","","+5","","","","at tree hole following alarm"
"Scan","16/07/2019 14:44:09","TB","Social","LS + TB, MB + LT","+2","","","",""
"Scan","16/07/2019 14:44:49","LT","Social","TB","","","","",""
"Scan","16/07/2019 14:45:04","RS","Social","LT, LS","","","","",""
"Scan","16/07/2019 14:45:27","LS","Social","","","","","",""
