"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","6/25/19 10:00:20","SH + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:01:07","MB + TB","Eating","LS","","","","",""
"Scan","6/25/19 10:01:31","MB + RS","Eating","","+1","","","","rs"
"Scan","6/25/19 10:01:51","MB + LS","Scrabling","SH + TB, RS + TB","","","","",""
"Scan","6/25/19 10:02:42","RT","Scrabling","LT + TB","","","","",""
"Scan","6/25/19 10:03:02","TB","Running","RS, LS","","","","",""
"Scan","6/25/19 10:03:29","LT","Scrabling","","","","","",""
"Scan","6/25/19 10:03:59","RS","Scrabling","","","","","",""
"Scan","6/25/19 10:04:16","LS","Foraging","H + TB","","","","",""
"Scan","6/25/19 10:05:07","SH + TB","Scrabling","","+3","","","","rttb lttb"
"Scan","6/25/19 10:06:19","MB + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:06:35","MB + RS","Moving","","+1","","","","rt"
"Scan","6/25/19 10:07:57","MB + LS","Scrabling","RT","","","","",""
"Scan","6/25/19 10:08:07","RT","Scrabling","MB + LS","","","","",""
"Scan","6/25/19 10:08:53","TB","Eating","","","","","",""
"Scan","6/25/19 10:09:04","LT","Foraging","","","","","",""
"Scan","6/25/19 10:09:37","RS","Scrabling","LS + TB","","","","",""
"Scan","6/25/19 10:10:17","MB + TB","Scrabling","LT","","","","",""
"Scan","6/25/19 10:11:18","SH + TB","Scrabling","","","","","",""
"Event","6/25/19 10:11:33","","","","","Sentinel","RT + TB","Already started",""
"Scan","6/25/19 10:12:31","MB + RS","Scrabling","","+2","","","","mublt lt"
"Scan","6/25/19 10:13:19","MB + LS","Scrabling","","+1","","","","lslt"
"Event","6/25/19 10:13:57","","","","","Sentinel","RT + TB","Already stopped",""
"Scan","6/25/19 10:15:25","RT","Scrabling","RS + TB, TB, LT","+2","","","",""
"Scan","6/25/19 10:16:12","TB","Scrabling","SH + TB","","","","",""
"Scan","6/25/19 10:16:30","LT","Foraging","","","","","",""
"Scan","6/25/19 10:17:24","RS","Moving","LT","","","","",""
"Scan","6/25/19 10:17:58","LS","Scrabling","RS + TB","","","","",""
"Scan","6/25/19 10:18:18","SH + TB","Foraging","","","","","",""
"Scan","6/25/19 10:20:08","MB + TB","Scrabling","MB + RS, MB + LS","","","","",""
"Scan","6/25/19 10:20:29","MB + RS","Scrabling","","+1","","","","mbls"
"Scan","6/25/19 10:20:41","MB + LS","Foraging","MB + RS","","","","",""
"Scan","6/25/19 10:21:22","RT","Scrabling","","","","","",""
"Scan","6/25/19 10:22:14","TB","Eating","","","","","",""
"Scan","6/25/19 10:22:44","LT","Scanning","","","","","",""
"Event","6/25/19 10:23:13","","","","","Sentinel","LT + TB","Already started","1m"
"Event","6/25/19 10:23:35","","","","","Sentinel","LT + TB","Already stopped",""
"Scan","6/25/19 10:25:22","RS","Scrabling","LT + TB","","","","",""
"Event","6/25/19 10:25:55","","","","","Sentinel","RT + TB","Already started","1m"
"Scan","6/25/19 10:26:37","LS","Foraging","","","","","",""
"Scan","6/25/19 10:28:18","SH + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:29:05","MB + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:30:01","MB + RS","Scrabling","","+1","","","","m1"
"Scan","6/25/19 10:30:38","MB + LS","Scrabling","H + TB","","","","",""
"Scan","6/25/19 10:30:58","RT","Scanning","","","","","",""
"Event","6/25/19 10:31:09","","","","","Sentinel","RT + TB","Already stopped",""
"Scan","6/25/19 10:31:30","TB","Scrabling","MB + LS","","","","",""
"Scan","6/25/19 10:32:14","LT","Eating","LT + TB","","","","",""
"Scan","6/25/19 10:32:50","RS","Foraging","","","","","",""
"Scan","6/25/19 10:33:04","LS","Scrabling","","","","","",""
"Scan","6/25/19 10:35:01","SH + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:35:42","MB + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:36:08","MB + RS","Foraging","","","","","",""
"Scan","6/25/19 10:37:49","MB + LS","Scrabling","LS + TB","","","","",""
"Scan","6/25/19 10:39:35","RT","Scrabling","LS + LT","","","","",""
"Scan","6/25/19 10:40:16","TB","Scrabling","","","","","",""
"Scan","6/25/19 10:42:23","RS","Scrabling","LS + TB","","","","",""
"Scan","6/25/19 10:42:45","LS","Scrabling","SH + TB","","","","",""
"Scan","6/25/19 10:42:58","SH + TB","Scrabling","","+1","","","","ls"
"Event","6/25/19 10:43:56","","","","","Alarm running","Ukn","Start",""
"Event","6/25/19 10:44:29","","","","","Alarm running","Ukn","Stop",""
"Scan","6/25/19 10:45:10","MB + TB","Scrabling","LS","","","","",""
"Scan","6/25/19 10:45:29","MB + RS","Scrabling","","","","","",""
"Scan","6/25/19 10:45:52","MB + LS","Foraging","","","","","",""
"Scan","6/25/19 10:47:31","RT","Scrabling","MB + LS","","","","",""
"Scan","6/25/19 10:48:15","TB","Foraging","","","","","",""
"Scan","6/25/19 10:48:39","LT","Moving","","","","","",""
"Event","6/25/19 10:49:44","","","","","Sentinel","RT + TB","Start",""
"Scan","6/25/19 10:50:01","RS","Moving","MB + LT, LS","","","","",""
"Event","6/25/19 10:50:18","","","","","Sentinel","RT + TB","Already stopped",""
"Scan","6/25/19 10:50:43","LS","Scrabling","","","","","",""
"Scan","6/25/19 10:51:35","SH + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:53:32","MB + RS","Scrabling","","","","","",""
"Scan","6/25/19 10:54:12","MB + TB","Scrabling","","","","","",""
"Scan","6/25/19 10:56:11","MB + LS","Scanning","","","","","",""
"Scan","6/25/19 10:56:48","RT","Scrabling","RS + TB, TB","","","","",""
"Scan","6/25/19 10:57:09","TB","Scrabling","RT","","","","",""
"Scan","6/25/19 10:57:29","LT","Scrabling","","","","","",""
"Scan","6/25/19 10:57:42","RS","Scrabling","","","","","",""
"Scan","6/25/19 11:01:07","SH + TB","Scrabling","","","","","",""
"Scan","6/25/19 11:01:50","MB + TB","Bipedal vig","","","","","",""
"Scan","6/25/19 11:02:52","MB + RS","Scrabling","","","","","",""
"Scan","6/25/19 11:03:15","MB + LS","Scrabling","LT","","","","",""
"Scan","6/25/19 11:03:46","RT","Scrabling","","","","","",""
"Scan","6/25/19 11:04:12","TB","Foraging","MB + LT","","","","",""
"Scan","6/25/19 11:04:52","LT","Scrabling","","","","","",""
"Scan","6/25/19 11:05:15","RS","Scrabling","","","","","",""
"Event","6/25/19 11:05:27","","","","","Alarm scanning","Ukn","Ponctual",""
"Event","6/25/19 11:05:46","","","","","Sentinel","RS + TB","Start","30cm"
"Scan","6/25/19 11:06:46","LS","Foraging","RT","","","","",""
"Event","6/25/19 11:08:35","","","","","Alarm scanning","RS + TB","Ponctual",""
"Scan","6/25/19 11:09:31","MB + TB","Scrabling","RT","","","","",""
"Scan","6/25/19 11:09:59","MB + RS","Foraging","","","","","",""
"Event","6/25/19 11:10:48","","","","","Sentinel","RS + TB","Stop",""
"Scan","6/25/19 11:12:13","RT","Foraging","","","","","",""
"Scan","6/25/19 11:12:43","TB","Scanning","","","","","",""
"Scan","6/25/19 11:13:04","LT","Scrabling","","","","","",""
"Scan","6/25/19 11:14:24","RS","Foraging","","","","","",""
"Scan","6/25/19 11:14:54","LS","Social","LS + LT","","","","","investigating his foraging"
"Scan","6/25/19 11:15:39","SH + TB","Foraging","","","","","",""
"Scan","6/25/19 11:16:10","MB + TB","Scrabling","LS","","","","",""
"Scan","6/25/19 11:16:30","MB + RS","Scrabling","","+1","","","","mbtb"
"Scan","6/25/19 11:17:46","MB + LS","Scrabling","","","","","",""
"Scan","6/25/19 11:18:55","RT","Scrabling","","","","","",""
"Event","6/25/19 11:19:07","","","","","Alarm scanning","Ukn","Ponctual","bird alarm"
"Scan","6/25/19 11:19:36","TB","Scrabling","","","","","",""
"Scan","6/25/19 11:20:23","LT","Foraging","","","","","",""
"Scan","6/25/19 11:20:54","RS","Foraging","","","","","",""
"Scan","6/25/19 11:21:44","LS","Scrabling","","","","","",""
"Scan","6/25/19 11:22:20","SH + TB","Scrabling","","+1","","","","m1"
"Scan","6/25/19 11:23:01","MB + TB","Scrabling","","","","","",""
"Scan","6/25/19 11:24:57","MB + RS","Running","","","","","",""
"Scan","6/25/19 11:25:51","MB + LS","Foraging","","","","","",""
"Scan","6/25/19 11:26:30","RT","Foraging","","","","","",""
"Scan","6/25/19 11:26:55","TB","Foraging","","","","","",""
"Scan","6/25/19 11:27:28","LT","Foraging","","","","","",""
"Scan","6/25/19 11:27:56","RS","Scrabling","RT + TB","","","","",""
"Scan","6/25/19 11:28:35","LS","Foraging","","","","","",""
"Event","6/25/19 11:29:36","","","","","Encounter","RS + TB","Already started",""
"Scan","6/25/19 11:30:45","SH + TB","Scrabling","","","","","",""
"Event","6/25/19 11:31:22","","","","","Alarm scanning","Ukn","Ponctual",""
"Event","6/25/19 11:31:43","","","","","Sentinel","RS + TB","Already stopped",""
"Scan","6/25/19 11:31:59","MB + TB","Running","","","","","","alarming"
"Event","6/25/19 11:32:16","","","","","Alarm running","Ukn","Already started",""
"Event","6/25/19 11:35:44","","","","","Encounter","","Stop",""
"Scan","6/25/19 11:36:33","MB + RS","Scrabling","","","","","",""
"Event","6/25/19 11:37:35","","","","","Sentinel","LT + TB","Start","80cm"
"Event","6/25/19 11:38:24","","","","","Alarm scanning","LT + TB","Start",""
"Scan","6/25/19 11:39:49","MB + LS","Running","TB","","","","","left behind who were alarming at"
"Event","6/25/19 11:40:30","","","","","Alarm scanning","Ukn","Stop",""
"Event","6/25/19 11:40:49","","","","","Alarm running","Ukn","Already started",""
"Event","6/25/19 11:41:25","","","","","Alarm running","Ukn","Already stopped",""
"Scan","6/25/19 11:42:02","RT","Scrabling","RT + TB, RS","","","","",""
"Scan","6/25/19 11:42:45","TB","Other","MB + LT, RT","","","","","sniffing around BH"
"Scan","6/25/19 11:43:46","LT","Foraging","TB","","","","",""
"Scan","6/25/19 11:44:15","RS","Scrabling","","","","","",""
"Scan","6/25/19 11:44:35","LS","Scrabling","","","","","",""
"Scan","6/25/19 11:51:08","MB + TB","Foraging","","","","","",""
"Scan","6/25/19 11:54:16","RT","Scrabling","","","","","",""
"Scan","6/25/19 11:56:08","TB","Eating","","","","","",""
"Event","6/25/19 11:56:20","","","","","Sentinel","H + MB","Already started",""
"Event","6/25/19 11:56:37","","","","","Sentinel","LT + TB","Already stopped",""
"Event","6/25/19 11:58:01","","","","","Sentinel","H + MB","Already stopped",""
"Scan","6/25/19 11:58:32","LT","Scrabling","","","","","",""
"Scan","6/25/19 11:59:11","RS","Foraging","","","","","",""
"Scan","6/25/19 11:59:35","LS","Foraging","","","","","",""
"Scan","6/25/19 12:00:26","MB + TB","Scanning","","","","","",""
"Scan","6/25/19 12:02:34","MB + RS","Foraging","","","","","",""
"Scan","6/25/19 12:02:52","MB + LS","Foraging","","","","","",""
"Scan","6/25/19 12:03:51","RT","Scrabling","RT + TB, LT + TB","","","","",""
"Scan","6/25/19 12:04:27","TB","Foraging","","","","","",""
"Scan","6/25/19 12:04:42","LT","Scrabling","","","","","",""
"Scan","6/25/19 12:06:08","RS","Scrabling","LT + TB","","","","",""
"Scan","6/25/19 12:06:35","LS","Scrabling","LT","","","","",""
"Scan","6/25/19 12:06:57","MB + TB","Bipedal vig","","","","","",""
"Scan","6/25/19 12:07:44","MB + RS","Scrabling","","+3","","","","tb f1"
"Scan","6/25/19 12:08:14","MB + LS","Scrabling","LT","","","","",""
"Scan","6/25/19 12:09:28","RT","Moving","","","","","",""
"Scan","6/25/19 12:09:39","TB","Foraging","H + TB","","","","",""
"Scan","6/25/19 12:09:53","LT","Social","LS","","","","","snap at ls"
"Scan","6/25/19 12:12:08","LS","Eating","","","","","",""
"Scan","6/25/19 12:12:28","RS","Foraging","TB","","","","",""
"Scan","6/25/19 12:13:18","MB + TB","Foraging","","","","","",""
"Scan","6/25/19 12:15:28","SH + TB","Scrabling","","","","","",""
"Event","6/25/19 12:16:31","","","","","Sentinel","LS + LT","Already started","170cm"
"Scan","6/25/19 12:18:48","MB + RS","Foraging","","+1","","","","f1"
"Scan","6/25/19 12:19:48","MB + LS","Foraging","","","","","",""
"Scan","6/25/19 12:20:12","RT","Scrabling","LT, RS","","","","",""
"Event","6/25/19 12:20:36","","","","","Sentinel","RT + TB","Start","20cm"
"Event","6/25/19 12:21:08","","","","","Sentinel","RT + TB","Stop",""
"Scan","6/25/19 12:21:44","TB","Scrabling","","","","","",""
"Event","6/25/19 12:22:41","","","","","Sentinel","RT + TB","Start","50cm"
"Event","6/25/19 12:23:16","","","","","Sentinel","LS + LT","Stop",""
"Event","6/25/19 12:23:35","","","","","Sentinel","RT + TB","Stop",""
"Scan","6/25/19 12:24:23","LT","Moving","","","","","",""
"Scan","6/25/19 12:26:24","RS","Scrabling","RT + TB","","","","",""
"Scan","6/25/19 12:27:16","LS","Moving","H + TB","","","","",""
"Scan","6/25/19 12:28:53","SH + TB","Foraging","","","","","",""
"Scan","6/25/19 12:29:30","MB + TB","Bipedal vig","","","","","",""
"Scan","6/25/19 12:30:08","MB + RS","Scanning","","","","","",""
"Scan","6/25/19 12:31:20","MB + LS","Eating","","","","","",""
"Scan","6/25/19 12:31:50","RT","Scrabling","LS + TB","","","","",""
"Scan","6/25/19 12:32:20","TB","Scrabling","","","","","",""
"Scan","6/25/19 12:33:56","LT","Scrabling","","","","","",""
"Scan","6/25/19 12:34:15","RS","Foraging","RT","","","","",""
"Scan","6/25/19 12:34:38","LS","Scrabling","RS + TB","","","","",""
"Scan","6/25/19 12:35:30","SH + TB","Foraging","","+1","","","","lt"
"Event","6/25/19 12:36:13","","","","","Sentinel","RS + TB","Already started",""
"Event","6/25/19 12:36:31","","","","","Sentinel","RS + TB","Stop",""
"Scan","6/25/19 12:38:03","MB + TB","Scrabling","","","","","",""
"Scan","6/25/19 12:38:13","MB + RS","Scrabling","","","","","",""
"Scan","6/25/19 12:40:00","MB + LS","Foraging","","","","","",""
"Scan","6/25/19 12:41:51","RT","Scrabling","LS","","","","",""
"Scan","6/25/19 12:42:31","TB","Scrabling","MB + LT","","","","",""
"Scan","6/25/19 12:43:03","LT","Bipedal vig","","","","","",""
"Scan","6/25/19 12:43:18","RS","Other","","","","","","alarming"
"Event","6/25/19 12:43:35","","","","","Alarm scanning","Ukn","Ponctual",""
"Scan","6/25/19 12:44:04","LS","Scrabling","","","","","",""
"Event","6/25/19 12:45:55","","","","","Alarm running","Ukn","Already started",""
"Event","6/25/19 12:46:29","","","","","Alarm running","Ukn","Already stopped",""
