"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","13/07/2019 13:58:20","RS","Scrabling","","","","","",""
"Scan","13/07/2019 13:58:32","LS","Foraging","","","","","",""
"Scan","13/07/2019 14:00:01","MB + TB","Scanning","","","","","",""
"Scan","13/07/2019 14:01:36","RT","Scrabling","LS","","","","",""
"Scan","13/07/2019 14:01:44","TB","Other","","","","","","pancaking"
"Scan","13/07/2019 14:04:07","RS","Digging","","","","","",""
"Scan","13/07/2019 14:05:34","LS","Scrabling","","","","","",""
"Scan","13/07/2019 14:07:20","LT","Scrabling","","","","","",""
"Scan","13/07/2019 14:10:37","RT","Scrabling","RT + TB","","","","",""
"Scan","13/07/2019 14:10:54","MB + TB","Foraging","TB","","","","",""
"Scan","13/07/2019 14:11:09","TB","Foraging","MB + TB","","","","",""
"Scan","13/07/2019 14:12:29","RS","Foraging","MB + LT, RT","","","","",""
"Scan","13/07/2019 14:12:58","LS","Scrabling","MB + RS","","","","",""
"Scan","13/07/2019 14:15:57","LT","Scrabling","","","","","",""
"Scan","13/07/2019 14:18:37","MB + TB","Scrabling","","","","","",""
"Scan","13/07/2019 14:21:06","RT","Eating","LS","","","","",""
"Scan","13/07/2019 14:21:24","TB","Foraging","MB + TB","","","","",""
"Scan","13/07/2019 14:22:27","LS","Scrabling","H + TB","","","","",""
"Scan","13/07/2019 14:22:40","LT","Bipedal vig","","","","","",""
"Event","13/07/2019 14:23:01","","","","","Sentinel","LT + TB","Start","150cm"
"Scan","13/07/2019 14:23:40","RS","Foraging","LT","","","","",""
"Scan","13/07/2019 14:24:19","MB + TB","Scrabling","","","","","",""
"Scan","13/07/2019 14:24:43","RT","Foraging","","","","","",""
"Scan","13/07/2019 14:25:16","TB","Scrabling","","","","","",""
"Event","13/07/2019 14:26:48","","","","","Sentinel","LT + TB","Stop",""
"Scan","13/07/2019 14:27:15","RS","Scrabling","","","","","",""
"Scan","13/07/2019 14:27:27","LS","Scrabling","","","","","",""
"Scan","13/07/2019 14:27:36","MB + TB","Scrabling","","","","","",""
"Event","13/07/2019 14:28:42","","","","","Alarm running","H + MB","Ponctual",""
"Scan","13/07/2019 14:29:18","LT","Scanning","H + MB, MB + LT","","","","",""
"Scan","13/07/2019 14:30:18","RT","Scrabling","","","","","",""
"Scan","13/07/2019 14:30:57","RS","Other","LS","","","","","pancaking"
"Event","13/07/2019 14:31:11","","","","","Alarm running","Ukn","Already started",""
"Event","13/07/2019 14:31:39","","","","","Alarm running","Ukn","Already stopped",""
"Scan","13/07/2019 14:32:17","TB","Digging","H + TB, H + MB, LT","","","","",""
"Scan","13/07/2019 14:32:42","RT","Digging","H + MB, LT, LS","","","","",""
"Scan","13/07/2019 14:33:05","LS","Social","H + MB, RT, RS","","","","","playing"
"Scan","13/07/2019 14:33:34","MB + TB","Other","RT + TB, RT, RS","","","","","moving below"
"Scan","13/07/2019 14:35:08","RT","Scrabling","","","","","",""
"Scan","13/07/2019 14:35:51","LS","Scrabling","","","","","",""
"Event","13/07/2019 14:36:24","","","","","Alarm running","Ukn","Start",""
"Event","13/07/2019 14:36:43","","","","","Alarm running","Ukn","Already stopped",""
"Scan","13/07/2019 14:37:07","MB + TB","Scrabling","MB + RS","","","","",""
"Scan","13/07/2019 14:37:38","RT","Other","RT + TB, MB + LS, LS","","","","","selfgroom "
"Scan","13/07/2019 14:38:26","LT","Social","RT + TB, RS + TB, RT, LS","","","","","playing"
"Scan","13/07/2019 14:39:25","LS","Scanning","RS + TB, MB + LS, RT","","","","",""
"Scan","13/07/2019 14:40:33","RS","Scanning","MB + RS","","","","",""
"Scan","13/07/2019 14:40:54","MB + TB","Scrabling","MB + LT","","","","",""
"Event","13/07/2019 14:41:30","","","","","Sentinel","MB + LS","Already started","30cm"
"Scan","13/07/2019 14:41:47","RT","Social","MB + LS, LS","","","","","playing "
"Scan","13/07/2019 14:42:08","LS","Scanning","MB + LS","","","","",""
"Event","13/07/2019 14:42:43","","","","","Sentinel","MB + LS","Stop",""
"Scan","13/07/2019 14:43:41","RS","Foraging","","","","","",""
"Scan","13/07/2019 14:44:42","LT","Scrabling","","","","","",""
"Scan","13/07/2019 14:45:09","TB","Scrabling","","","","","",""
"Event","13/07/2019 14:47:21","MB + TB","","","","Sentinel","MB + TB","Already started","30cm"
"Event","13/07/2019 14:47:34","","","","","Sentinel","MB + TB","Stop",""
"Scan","13/07/2019 14:47:53","MB + TB","Bipedal vig","","","","","",""
"Scan","13/07/2019 14:48:20","RT","Other","","","","","","moving below"
"Scan","13/07/2019 14:50:13","TB","Scrabling","LT + TB","","","","",""
"Scan","13/07/2019 14:50:48","LT","Scrabling","","","","","",""
"Scan","13/07/2019 14:50:55","RS","Scrabling","","","","","",""
"Scan","13/07/2019 14:51:25","LS","Scrabling","H + MB","","","","",""
"Scan","13/07/2019 14:53:07","MB + TB","Scrabling","","","","","",""
"Scan","13/07/2019 14:53:27","RT","Scanning","","","","","",""
"Scan","13/07/2019 14:53:52","LT","Scrabling","","","","","",""
"Scan","13/07/2019 14:54:17","RS","Running","","","","","",""
"Scan","13/07/2019 14:54:35","LS","Digging","H + MB, RT, RS","","","","",""
"Scan","13/07/2019 14:55:22","MB + TB","Other","LT + TB","","","","","pancaking"
"Scan","13/07/2019 14:56:31","RT","Scrabling","","","","","",""
"Scan","13/07/2019 14:56:42","LT","Scrabling","","","","","",""
"Scan","13/07/2019 14:57:13","RS","Foraging","","","","","",""
"Scan","13/07/2019 14:57:26","LS","Foraging","","","","","",""
"Scan","13/07/2019 14:58:12","TB","Scrabling","MB + TB","","","","",""
"Scan","13/07/2019 14:58:25","MB + TB","Scrabling","TB","","","","",""
"Scan","13/07/2019 14:59:18","RT","Scrabling","LT","","","","",""
"Scan","13/07/2019 14:59:27","LT","Scrabling","RT","","","","",""
"Scan","13/07/2019 15:00:00","RS","Scrabling","","","","","",""
"Scan","13/07/2019 15:00:44","LS","Scrabling","","","","","",""
"Scan","13/07/2019 15:00:51","MB + TB","Scrabling","H + TB, MB + LS","","","","",""
"Scan","13/07/2019 15:01:16","TB","Eating","","","","","",""
"Scan","13/07/2019 15:03:33","LT","Scrabling","","","","","",""
"Scan","13/07/2019 15:05:35","RT","Bipedal vig","","","","","",""
"Scan","13/07/2019 15:05:53","RS","Foraging","","","","","",""
"Scan","13/07/2019 15:07:30","LS","Scanning","","","","","",""
"Scan","13/07/2019 15:07:42","TB","Scrabling","","","","","",""
"Scan","13/07/2019 15:08:31","MB + TB","Foraging","","","","","",""
"Scan","13/07/2019 15:08:45","RT","Scrabling","","","","","",""
"Scan","13/07/2019 15:09:13","RS","Scrabling","","","","","",""
"Scan","13/07/2019 15:10:46","LT","Foraging","","","","","",""
"Scan","13/07/2019 15:11:59","MB + TB","Scrabling","","","","","",""
"Scan","13/07/2019 15:12:28","RT","Bipedal vig","","","","","",""
"Scan","13/07/2019 15:13:52","TB","Foraging","LS","","","","",""
"Scan","13/07/2019 15:13:59","LS","Foraging","TB","","","","",""
"Scan","13/07/2019 15:14:37","RS","Scrabling","","","","","",""
"Scan","13/07/2019 15:14:58","MB + TB","Scrabling","","","","","",""
"Scan","13/07/2019 15:16:51","LT","Scrabling","","","","","",""
"Scan","13/07/2019 15:18:25","MB + TB","Foraging","","","","","",""
"Scan","13/07/2019 15:18:55","LS","Scrabling","","","","","",""
"Scan","13/07/2019 15:19:18","RT","Scrabling","","","","","",""
"Scan","13/07/2019 15:19:45","RS","Scrabling","","","","","",""
"Scan","13/07/2019 15:20:40","LS","Scrabling","","","","","",""
"Scan","13/07/2019 15:20:53","RT","Scrabling","","","","","",""
"Scan","13/07/2019 15:21:16","TB","Scrabling","","","","","",""
"Scan","13/07/2019 15:23:54","LT","Scrabling","","","","","",""
"Scan","13/07/2019 15:26:17","LS","Scanning","","","","","",""
"Scan","13/07/2019 15:28:19","RS","Eating","","","","","",""
"Scan","13/07/2019 15:30:04","MB + TB","Foraging","LS + LT","","","","",""
"Scan","13/07/2019 15:30:22","LT","Scrabling","","","","","",""
