"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","06/08/2019 10:06:46","H + MB","Other","","","","","","looking at human"
"Scan","06/08/2019 10:10:22","H","Scrabling","LS + TBL","","","","",""
"Scan","06/08/2019 10:10:50","LS","Foraging","","","","","",""
"Scan","06/08/2019 10:11:24","MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:12:51","RT","Foraging","","","","","",""
"Scan","06/08/2019 10:13:59","RS + TBL","Foraging","","","","","",""
"Scan","06/08/2019 10:14:09","LT","Foraging","","","","","",""
"Scan","06/08/2019 10:14:33","RS","Foraging","","","","","",""
"Scan","06/08/2019 10:16:34","LS","Scrabling","","","","","",""
"Scan","06/08/2019 10:16:50","MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:17:31","H + MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:17:42","RT","Foraging","","","","","",""
"Scan","06/08/2019 10:18:32","H","Scrabling","","","","","",""
"Scan","06/08/2019 10:19:38","LT","Scrabling","","","","","",""
"Scan","06/08/2019 10:20:04","RS + TBL","Moving","","","","","",""
"Scan","06/08/2019 10:20:26","RS","Foraging","","","","","",""
"Scan","06/08/2019 10:21:54","LS","Foraging","","","","","",""
"Scan","06/08/2019 10:22:26","H","Scrabling","","","","","",""
"Scan","06/08/2019 10:22:37","MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:23:04","RT","Scrabling","","","","","",""
"Scan","06/08/2019 10:23:13","H + MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:25:57","RS","Scrabling","","","","","",""
"Scan","06/08/2019 10:26:10","LT","Scrabling","","","","","",""
"Scan","06/08/2019 10:26:21","RS + TBL","Bipedal vig","","","","","",""
"Scan","06/08/2019 10:27:38","H","Foraging","","","","","",""
"Scan","06/08/2019 10:27:56","RT","Foraging","","","","","",""
"Scan","06/08/2019 10:28:05","LS","Foraging","SH + MB + TBL","","","","",""
"Scan","06/08/2019 10:30:06","H + MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:32:45","LT","Moving","RS + TBL","","","","",""
"Scan","06/08/2019 10:33:52","RS + TBL","Scrabling","LT + TBL","","","","",""
"Scan","06/08/2019 10:34:12","RS","Foraging","","","","","",""
"Scan","06/08/2019 10:35:44","H","Foraging","","","","","",""
"Scan","06/08/2019 10:36:11","MB","Foraging","","","","","",""
"Scan","06/08/2019 10:36:21","LT","Foraging","","","","","",""
"Scan","06/08/2019 10:36:28","LS","Bipedal vig","","","","","",""
"Scan","06/08/2019 10:36:43","RT","Scrabling","","","","","",""
"Scan","06/08/2019 10:37:11","H + MB","Foraging","","","","","",""
"Event","06/08/2019 10:38:40","","","","","Alarm running","Ukn","Ponctual",""
"Scan","06/08/2019 10:39:07","RS + TBL","Scrabling","","","","","",""
"Scan","06/08/2019 10:39:25","RS","Foraging","","","","","",""
"Scan","06/08/2019 10:40:56","H + MB","Foraging","","","","","",""
"Scan","06/08/2019 10:41:39","MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:42:43","H","Scrabling","","","","","",""
"Scan","06/08/2019 10:42:56","RT","Scrabling","","","","","",""
"Scan","06/08/2019 10:43:20","LS","Foraging","","","","","",""
"Scan","06/08/2019 10:44:56","RS","Foraging","","","","","",""
"Scan","06/08/2019 10:45:18","RS + TBL","Scrabling","","","","","",""
"Scan","06/08/2019 10:46:57","LT","Scrabling","","","","","",""
"Scan","06/08/2019 10:47:12","RT","Foraging","","","","","",""
"Scan","06/08/2019 10:47:23","H","Foraging","","","","","",""
"Scan","06/08/2019 10:47:54","MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:48:29","H + MB","Foraging","","","","","",""
"Scan","06/08/2019 10:48:49","LS","Foraging","","","","","",""
"Scan","06/08/2019 10:50:09","RS","Scrabling","","","","","",""
"Scan","06/08/2019 10:50:54","RS + TBL","Scrabling","","","","","",""
"Scan","06/08/2019 10:52:34","H + MB","Scrabling","","","","","",""
"Scan","06/08/2019 10:53:05","LT","Scrabling","","","","","",""
"Scan","06/08/2019 10:53:16","RT","Foraging","","","","","",""
