"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","08/08/2019 10:03:03","MB","Scrabling","","","","","",""
"Scan","08/08/2019 10:03:17","LT","Scrabling","MB","","","","",""
"Scan","08/08/2019 10:03:33","RT","Scrabling","","","","","",""
"Scan","08/08/2019 10:03:47","RS + TBL","Scrabling","RS","","","","",""
"Scan","08/08/2019 10:03:55","RS","Foraging","RS + TBL","","","","",""
"Scan","08/08/2019 10:04:13","H","Foraging","","","","","",""
"Scan","08/08/2019 10:04:32","H + RT","Foraging","","","","","",""
"Scan","08/08/2019 10:05:37","MB","Scrabling","MB + RS, H + LT","","","","",""
"Scan","08/08/2019 10:06:08","LS","Foraging","","","","","",""
"Scan","08/08/2019 10:06:47","RT","Foraging","H + TBL","","","","",""
"Scan","08/08/2019 10:07:21","H + RT","Scrabling","","","","","",""
"Scan","08/08/2019 10:07:42","RS","Foraging","","","","","",""
"Scan","08/08/2019 10:08:01","LT","Scrabling","","","","","",""
"Scan","08/08/2019 10:08:07","RS + TBL","Eating","","","","","",""
"Scan","08/08/2019 10:08:16","H","Foraging","RR + TBL","","","","",""
"Scan","08/08/2019 10:09:07","MB","Running","SH + MB + TBL, RS + RT + TBL","","","","",""
"Scan","08/08/2019 10:09:20","LS","Foraging","","","","","",""
"Scan","08/08/2019 10:09:42","H","Running","RR + TBL","","","","",""
"Scan","08/08/2019 10:10:57","LT","Scrabling","","","","","",""
"Scan","08/08/2019 10:11:13","RS + TBL","Scrabling","","","","","",""
"Scan","08/08/2019 10:11:51","RT","Scanning","","","","","",""
"Scan","08/08/2019 10:12:11","H + RT","Running","","","","","",""
"Scan","08/08/2019 10:12:54","LS","Scrabling","","","","","",""
"Scan","08/08/2019 10:13:01","RS","Foraging","SH + MB + TBL","","","","",""
"Scan","08/08/2019 10:13:14","MB","Foraging","LS","","","","",""
"Scan","08/08/2019 10:13:53","LT","Foraging","MB + RS, MB + LT, H + TB","","","","",""
"Scan","08/08/2019 10:14:30","H","Scanning","LS + TBL","","","","",""
"Scan","08/08/2019 10:14:58","RS + TBL","Scrabling","","","","","",""
"Scan","08/08/2019 10:15:34","RT","Running","H + MB","","","","",""
"Scan","08/08/2019 10:16:47","LS","Scanning","","","","","",""
"Scan","08/08/2019 10:17:17","H + RT","Scanning","","","","","",""
"Scan","08/08/2019 10:17:58","H","Foraging","H + RT","","","","",""
"Scan","08/08/2019 10:18:35","RS","Foraging","H + TBL","","","","",""
"Scan","08/08/2019 10:19:02","RS + TBL","Scrabling","","","","","",""
"Scan","08/08/2019 10:19:12","MB","Foraging","","","","","",""
"Scan","08/08/2019 10:19:28","LT","Scrabling","","","","","",""
"Scan","08/08/2019 10:19:45","RS + TBL","Scrabling","LT","","","","",""
"Scan","08/08/2019 10:20:12","RS","Scrabling","RS + RT + TBL","","","","",""
"Scan","08/08/2019 10:20:39","H","Running","","","","","",""
"Scan","08/08/2019 10:21:10","H + RT","Scrabling","","","","","",""
"Event","08/08/2019 10:21:28","","","","","Alarm running","Ukn","Already started",""
"Scan","08/08/2019 10:21:53","MB","Bipedal vig","LS + TBL","+2","","","",""
"Scan","08/08/2019 10:22:12","RS","Scrabling","H","","","","",""
"Event","08/08/2019 10:22:24","","","","","Alarm running","Ukn","Already stopped",""
"Scan","08/08/2019 10:22:30","H","Eating","","","","","",""
"Scan","08/08/2019 10:23:10","LS","Foraging","MB","","","","",""
"Scan","08/08/2019 10:23:22","MB","Scrabling","","","","","",""
"Scan","08/08/2019 10:23:49","RT","Scrabling","LS","","","","",""
"Scan","08/08/2019 10:24:12","LT","Foraging","H + TB","","","","",""
"Scan","08/08/2019 10:24:52","H","Scrabling","RS","","","","",""
"Scan","08/08/2019 10:25:03","RS","Foraging","","","","","",""
"Scan","08/08/2019 10:26:20","RT","Scrabling","","","","","",""
"Scan","08/08/2019 10:26:30","LT","Scrabling","H + MB","","","","",""
"Scan","08/08/2019 10:26:47","LS","Eating","","","","","",""
"Scan","08/08/2019 10:27:00","MB","Scrabling","RT","","","","",""
"Scan","08/08/2019 10:27:29","LT","Scrabling","","","","","",""
"Scan","08/08/2019 10:27:48","RS + TBL","Bipedal vig","","","","","",""
"Scan","08/08/2019 10:28:06","H","Scrabling","","","","","",""
"Scan","08/08/2019 10:28:12","RS","Scrabling","H","","","","",""
"Scan","08/08/2019 10:28:58","H + RT","Scrabling","","","","","",""
"Scan","08/08/2019 10:30:17","RS","Foraging","H","","","","",""
"Scan","08/08/2019 10:30:36","H","Foraging","RT, RS","","","","",""
"Scan","08/08/2019 10:30:50","RS + TBL","Scanning","H","","","","",""
"Scan","08/08/2019 10:31:14","RT","Scrabling","RS, H","","","","",""
"Scan","08/08/2019 10:31:53","H","Scrabling","","","","","",""
"Scan","08/08/2019 10:32:11","MB","Scrabling","LS + TBL","","","","",""
"Scan","08/08/2019 10:32:29","LT","Foraging","LT + TBL, MB","","","","",""
"Scan","08/08/2019 10:32:49","LS","Scrabling","LT + TBL","","","","",""
"Scan","08/08/2019 10:33:31","RS","Scrabling","","","","","",""
"Scan","08/08/2019 10:33:44","H","Scrabling","RS","","","","",""
"Scan","08/08/2019 10:34:26","RT","Foraging","","","","","",""
"Event","08/08/2019 10:34:57","","","","","Alarm scanning","Ukn","Already started",""
"Event","08/08/2019 10:35:09","","","","","Alarm scanning","Ukn","Already stopped",""
"Scan","08/08/2019 10:35:35","H + RT","Foraging","","","","","",""
"Scan","08/08/2019 10:35:44","RS + TBL","Scrabling","","","","","",""
"Scan","08/08/2019 10:36:09","LT","Bipedal vig","","","","","",""
"Scan","08/08/2019 10:36:27","RT","Scrabling","","","","","",""
"Scan","08/08/2019 10:37:28","RS","Scrabling","","","","","",""
"Scan","08/08/2019 10:37:57","H","Foraging","","","","","",""
"Scan","08/08/2019 10:38:33","LS","Foraging","LT + TBL","","","","",""
"Scan","08/08/2019 10:39:14","RS","Scrabling","","","","","",""
"Scan","08/08/2019 10:40:17","H","Foraging","","","","","",""
"Scan","08/08/2019 10:40:46","RT","Foraging","","","","","",""
"Scan","08/08/2019 10:41:31","RS + TBL","Foraging","","","","","",""
"Scan","08/08/2019 10:41:42","H + RT","Scrabling","","","","","",""
"Scan","08/08/2019 10:42:08","LT","Scrabling","H + TBL","","","","",""
"Event","08/08/2019 10:42:30","","","","","Alarm scanning","Ukn","Ponctual",""
"Scan","08/08/2019 10:42:58","H + RT","Foraging","","","","","",""
"Scan","08/08/2019 10:43:11","RS + TBL","Foraging","","","","","",""
"Scan","08/08/2019 10:45:17","RT","Foraging","RS + RT + TBL, LT","","","","",""
"Scan","08/08/2019 10:45:28","LT","Scrabling","RT","","","","",""
"Scan","08/08/2019 10:46:55","H + RT","Bipedal vig","","","","","",""
"Scan","08/08/2019 10:47:20","RS","Foraging","MB + RS","","","","",""
"Scan","08/08/2019 10:47:34","LT","Scrabling","MB + RS","","","","",""
"Scan","08/08/2019 10:48:03","LT","Bipedal vig","","","","","",""
"Scan","08/08/2019 10:48:15","LS","Foraging","","","","","",""
"Scan","08/08/2019 10:48:29","MB","Scrabling","LT + TBL, RT","","","","",""
"Scan","08/08/2019 10:48:46","RT","Running","LT + TBL","","","","",""
