"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","07/08/2019 10:02:46","RS","Foraging","H + TB, LT","","","","",""
"Scan","07/08/2019 10:03:33","LT","Scanning","H + TB","","","","",""
"Scan","07/08/2019 10:04:25","H + RT","Foraging","","","","","",""
"Scan","07/08/2019 10:05:03","H + MB","Foraging","","","","","",""
"Scan","07/08/2019 10:07:46","H","Foraging","LT + TBL, RS + TBL","","","","",""
"Scan","07/08/2019 10:08:51","LS","Foraging","H + TB","","","","",""
"Scan","07/08/2019 10:10:30","MB","Moving","","","","","",""
"Scan","07/08/2019 10:11:28","RT","Foraging","MB + RS, SH + MB + TBL","","","","",""
"Scan","07/08/2019 10:12:23","H + RT","Foraging","","","","","",""
"Scan","07/08/2019 10:12:54","H","Foraging","RS","","","","",""
"Scan","07/08/2019 10:13:21","RS","Moving","","","","","",""
"Scan","07/08/2019 10:13:53","MB","Foraging","MB + RS","","","","",""
"Scan","07/08/2019 10:14:36","LT","Foraging","MB + LT","","","","",""
"Scan","07/08/2019 10:16:06","LS","Moving","MB","","","","",""
"Scan","07/08/2019 10:17:08","H + MB","Scanning","H + TB","","","","",""
"Scan","07/08/2019 10:18:48","RT","Foraging","MB + LT, H + MB","","","","",""
"Scan","07/08/2019 10:19:48","H + RT","Foraging","MB + LT","","","","",""
"Scan","07/08/2019 10:20:35","RS","Foraging","","","","","",""
"Scan","07/08/2019 10:21:19","RT","Foraging","","","","","",""
"Scan","07/08/2019 10:21:45","LS","Foraging","LT + TBL, RS","","","","",""
"Scan","07/08/2019 10:23:01","LT","Foraging","RS + TBL","","","","",""
"Scan","07/08/2019 10:23:39","H","Foraging","RS + RT + TBL","","","","",""
"Scan","07/08/2019 10:24:05","MB","Foraging","","","","","",""
"Scan","07/08/2019 10:25:47","H + MB","Foraging","","","","","",""
"Scan","07/08/2019 10:26:41","H + RT","Foraging","MB + RS","","","","",""
"Scan","07/08/2019 10:27:28","LS","Foraging","","","","","",""
"Scan","07/08/2019 10:27:50","RS","Foraging","MB + RS, H + RT, LS + TBL","","","","",""
"Scan","07/08/2019 10:28:44","LS","Foraging","MB + RS","","","","",""
"Scan","07/08/2019 10:29:46","LT","Bipedal vig","LS, H","+1","","","",""
"Scan","07/08/2019 10:30:34","H","Digging","","","","","",""
"Scan","07/08/2019 10:31:10","RT","Eating","LT + TBL","","","","",""
"Scan","07/08/2019 10:31:55","MB","Foraging","","","","","",""
"Scan","07/08/2019 10:33:51","H + MB","Bipedal vig","","","","","",""
"Scan","07/08/2019 10:34:13","H + RT","Digging","LS + TBL","","","","",""
"Scan","07/08/2019 10:35:22","LS","Scrabling","","","","","",""
"Scan","07/08/2019 10:35:36","MB","Moving","LS","","","","",""
"Scan","07/08/2019 10:36:04","RT","Foraging","RS","","","","",""
"Scan","07/08/2019 10:36:16","RS","Foraging","RT","","","","",""
"Scan","07/08/2019 10:37:29","LT","Foraging","","","","","",""
"Scan","07/08/2019 10:37:46","H","Scrabling","","","","","",""
"Scan","07/08/2019 10:38:58","H + MB","Digging","","","","","",""
"Scan","07/08/2019 10:40:48","H","Foraging","MB + LT","","","","",""
"Scan","07/08/2019 10:41:32","LT","Foraging","RS + RT + TBL","","","","",""
"Scan","07/08/2019 10:41:52","LT","Digging","","","","","",""
"Scan","07/08/2019 10:42:02","RS","Moving","LT","","","","",""
"Scan","07/08/2019 10:42:39","RT","Foraging","","","","","",""
"Scan","07/08/2019 10:44:03","H + RT","Moving","","","","","",""
"Scan","07/08/2019 10:44:48","MB","Eating","","","","","",""
"Scan","07/08/2019 10:46:10","H + MB","Scrabling","","","","","",""
"Scan","07/08/2019 10:46:52","H + RT","Moving","","","","","",""
