Date,Speaker Time,GPS.Time.UTC,Device.Time.SAST,Phone.Time.SAST,t0,tf,comments
20210520,2021-05-20 00:01:30,2021-05-20 06:13:34,2021-05-20 08:00:45,NA,,,
20210521,2021-05-21 00:01:30,2021-05-21 06:25:11,2021-05-21 08:11:57,NA,,,
20210522,2021-05-22 00:01:30,2021-05-22 06:27:26,2021-05-22 08:11:53,NA,,,
20210523,2021-05-23 00:01:30,2021-05-23 07:00:39,2021-05-23 08:46:41,NA,,,
20210524,2021-05-24 00:01:30,2021-05-24 06:15:21,2021-05-24 08:01:04,NA,,,
20210604,2021-05-24 00:01:30,2021-06-04 06:39:44,2021-06-04 08:19:36,NA,,,
20210605,2021-05-24 00:01:30,2021-06-05 06:39:54,2021-06-05 08:20:27,NA,,,
20210606,2021-05-24 00:01:30,2021-06-06 06:43:49,2021-06-06 08:24:09,NA,,,
20210607,2021-05-24 00:01:30,2021-06-07 06:50:24,2021-06-07 08:30:26,NA,,,
20210608,2021-05-24 00:01:30,2021-06-08 09:37:05,2021-06-08 11:16:42,NA,,,
20210609,2021-05-24 00:01:30,2021-06-09 06:47:27,2021-06-09 08:26:40,NA,,,
20210610,2021-05-24 00:01:30,2021-06-10 07:02:14,2021-06-10 08:41:12,NA,,,
20210611,2021-05-24 00:01:30,2021-06-11 06:48:58,2021-06-11 08:26:39,NA,,,
20210718,NA,NA,NA,NA,,,
20210719,NA,NA,NA,NA,,,
20210720,2021-07-20 03:00:00,2021-07-20 10:04:27,NA,NA,,,
20210721,2021-07-21 00:07:30,2021-07-21 06:57:50,2021-07-21 08:55:58,2021-07-21 08:57:50,,,
20210722,2021-07-22 00:01:30,2021-07-22 06:47:50,2021-07-22 08:45:54,2021-07-22 08:47:51,,,
20210723,2021-07-23 00:13:30,2021-07-23 07:02:26,2021-07-23 09:00:07,2021-07-23 09:02:26,,,
20210724,2021-07-24 00:07:30,2021-07-24 06:56:29,2021-07-24 08:53:45,2021-07-24 08:56:29,,,
20210725,2021-07-25 00:01:30,2021-07-25 06:53:49,2021-07-25 08:51:49,2021-07-25 08:53:49,,,
20210811,2021-08-11 00:01:30,2021-08-11 06:48:37,2021-08-11 08:45:59,NA,,,
20210812,2021-08-12 00:01:30,2021-08-12 06:44:26,2021-08-12 08:41:48,NA,,,
20210813,2021-08-13 00:01:30,2021-08-13 06:42:44,2021-08-13 08:40:06,2021-08-13 08:42:44,,,
20210814,2021-08-14 00:01:30,2021-08-14 06:43:41,2021-08-14 08:41:04,2021-08-14 08:43:41,,,
20210815,2021-08-15 00:01:30,2021-08-15 06:50:05,2021-08-15 08:47:28,2021-08-15 08:50:01,,,
20210816,2021-08-16 00:01:30,2021-08-16 06:51:36,2021-08-16 08:48:59,2021-08-16 08:51:35,,,
20210817,2021-08-17 00:01:30,2021-08-17 06:44:01,2021-08-17 08:41:25,2021-08-17 08:44:00,,,
